Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
Thoracic platyspondyly,"2317, 3930, 4149, 5331, 5593, 89970","10060, 1280, 176, 1836, 2137, 2261, 59341, 79158",,6,8,0,6
Decreased number of large peripheral myelinated nerve fibers,"1890, 26278, 3098, 3980, 4000, 4311, 4747, 50484, 5428, 54332, 54840, 56652, 57449, 57716, 79628, 8518, 87178, 9927","255738, 2581, 3094, 410, 526, 627, 8139","10558, 26353",18,7,2,20
Hypoplasia of the fovea,"11234, 1261, 146167, 157657, 1638, 22926, 2296, 2780, 283652, 388552, 392255, 4157, 4758, 4935, 5080, 51151, 5146, 5149, 54714, 54765, 60386, 6103, 63915, 7299, 7360, 7490, 778, 7855, 8517, 8943, 89781, 92154, 9573","10594, 153642, 221322, 23005, 284086, 4763, 5961, 6101, 6247, 6812, 79600, 83552","3708, 4948, 57479",33,12,3,36
Ketotic hypoglycemia,"10587, 23530, 27034, 2998, 35, 4158, 5257, 54148, 56246, 6770, 6927","1376, 178, 2203, 3158, 5184, 5256, 5261, 7381, 9656",6566,11,9,1,12
Decreased circulating androgen concentration,"10371, 10908, 128674, 1363, 1583, 1586, 1848, 190, 207, 2245, 2260, 23312, 23414, 2488, 2516, 2583, 26012, 2626, 2796, 2798, 3077, 3284, 3730, 3814, 389549, 3952, 3953, 3972, 4081, 4214, 4791, 4808, 50846, 5155, 51684, 51741, 5290, 5447, 55366, 55630, 55636, 55717, 57647, 57697, 60675, 654, 6598, 6605, 6662, 6736, 6845, 6866, 6870, 7015, 7490, 80067, 81848, 8314, 84231, 84634, 8822, 9394, 93953","3973, 91851","1528, 2253, 4771, 5422, 55131, 6608, 79625",63,2,7,70
Submucous cleft palate,"100151683, 1009, 10220, 10269, 10329, 10524, 10585, 10735, 11041, 11128, 1280, 1282, 148789, 1605, 1718, 219844, 2218, 23347, 23498, 23522, 246329, 26123, 27245, 29954, 3373, 344167, 374654, 3845, 3981, 4000, 4089, 4750, 4841, 4998, 51053, 51305, 51729, 54487, 54880, 54888, 5528, 55553, 55624, 5575, 5604, 5605, 57688, 57822, 5885, 6228, 63895, 6418, 6477, 6496, 6651, 673, 6899, 729920, 7314, 79147, 81620, 8214, 8220, 8318, 833, 84197, 8443, 8452, 84892, 8626, 9215, 93986, 9653, 9791, 990, 9949, 9993","1490, 1510, 1890, 23314, 2735, 2736, 4210, 5080, 50945, 5727, 57698, 64240, 64241, 6469, 84466, 865, 8692","10526, 139285, 1499, 23594, 29998, 5000, 57479, 6662, 9839",77,17,9,86
Angiosarcoma,2324,2767,2050,1,1,1,2
Postaxial hand polydactyly,"10000, 10225, 132884, 137392, 153241, 157657, 166379, 1717, 2121, 219844, 2239, 2316, 23288, 23322, 255758, 257, 26005, 26040, 26123, 27077, 2719, 27241, 2737, 285600, 3209, 374654, 3930, 4149, 4750, 51057, 51360, 51626, 51684, 51715, 5296, 54499, 54585, 54903, 55112, 55593, 5567, 57096, 57539, 57560, 582, 583, 64327, 64840, 65062, 65250, 658, 6608, 6926, 7476, 7700, 79005, 79140, 79583, 79600, 79659, 79770, 80184, 80210, 8195, 8200, 83479, 83871, 8481, 894, 89891, 91147, 9373","3190, 3205, 3239, 57511, 63977, 7480","1499, 1954, 2263, 26160, 2736, 51259, 5147, 56623, 57545, 57728, 6309, 64093, 6910, 7046, 727857, 79809, 79848, 79867, 80776, 84100, 84314, 9742, 9851",72,6,23,95
Peroneal muscle weakness,"2992, 4000, 5376, 54332, 59341, 65055",4604,"1757, 2218",6,1,2,8
Arthralgia of the hip,"1280, 1297, 1299, 1836, 4148, 567, 6399","114548, 23495, 249, 64127, 7128, 7132, 9636","1298, 1311",7,7,2,9
