Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
11 pairs of ribs,49,52,46,55,83.64
2-hydroxyglutarate aciduria,6,5,5,6,83.33
Abnormal 4th finger morphology,36,2,1,37,2.7
Abnormal abdomen morphology,893,105,105,893,11.76
Abnormal acetabulum morphology,609,19,19,609,3.12
Abnormal activity of mitochondrial respiratory chain,150,142,139,153,90.85
Abnormal anatomic location of the heart,151,11,10,152,6.58
Abnormal arm span,11,18,11,18,61.11
Abnormal auditory evoked potentials,28,10,9,29,31.03
Abnormal bladder morphology,100,86,73,113,64.6
Abnormal blistering of the skin,116,108,107,117,91.45
Abnormal blood gas level,55,11,10,56,17.86
Abnormal blood inorganic cation concentration,199,195,190,204,93.14
Abnormal blood sodium concentration,70,65,61,74,82.43
Abnormal blood urea nitrogen concentration,25,14,13,26,50.0
Abnormal blood zinc concentration,8,21,7,22,31.82
Abnormal brain positron emission tomography,24,12,12,24,50.0
Abnormal branching pattern of the aortic arch,34,43,34,43,79.07
Abnormal bronchoalveolar lavage fluid morphology,19,24,18,25,72.0
Abnormal calcification of the carpal bones,6,2,1,7,14.29
Abnormal calf musculature morphology,98,76,68,106,64.15
Abnormal cardiac biomarker test,7,21,7,21,33.33
Abnormal cardiac septum morphology,876,705,698,883,79.05
Abnormal carotid artery morphology,106,95,88,113,77.88
Abnormal caudate nucleus morphology,25,25,23,27,85.19
Abnormal cerebellar cortex morphology,5,2,1,6,16.67
Abnormal cerebrospinal fluid morphology,682,57,56,683,8.2
Abnormal cervical spine morphology,36,28,22,42,52.38
Abnormal chorioretinal morphology,178,159,157,180,87.22
Abnormal chromosome morphology,14,28,12,30,40.0
Abnormal circulating adrenocorticotropin concentration,48,45,44,49,89.8
Abnormal circulating amino acid concentration,184,176,168,192,87.5
Abnormal circulating bilirubin concentration,142,129,128,143,89.51
Abnormal circulating carboxylic acid concentration,409,13,13,409,3.18
Abnormal circulating cholesterol concentration,163,152,149,166,89.76
Abnormal circulating citrulline concentration,25,7,6,26,23.08
Abnormal circulating copper concentration,14,22,12,24,50.0
Abnormal circulating globulin concentration,14,2,1,15,6.67
Abnormal circulating gonadotropin concentration,131,12,12,131,9.16
Abnormal circulating insulin concentration,162,151,143,170,84.12
Abnormal circulating iron concentration,23,23,20,26,76.92
Abnormal circulating isoleucine concentration,6,8,5,9,55.56
Abnormal circulating lactate dehydrogenase concentration,102,102,88,116,75.86
Abnormal circulating lipid concentration,339,316,309,346,89.31
Abnormal circulating nucleobase concentration,49,2,1,50,2.0
Abnormal circulating ornithine concentration,5,6,5,6,83.33
Abnormal circulating serine concentration,5,11,5,11,45.45
Abnormal circulating sex hormone concentration,123,120,113,130,86.92
Abnormal corneal epithelium morphology,196,134,125,205,60.98
Abnormal corneal reflex,12,4,3,13,23.08
Abnormal corneal thickness,155,35,34,156,21.79
Abnormal coronary artery origin,8,4,3,9,33.33
Abnormal corpus striatum morphology,43,44,39,48,81.25
Abnormal cortical bone morphology,611,91,84,618,13.59
Abnormal corticospinal tract morphology,50,8,7,51,13.73
Abnormal curvature of the vertebral column,1518,1189,1187,1520,78.09
Abnormal dark-adapted bright flash electroretinogram,19,7,7,19,36.84
Abnormal dental root morphology,58,61,56,63,88.89
Abnormal drinking behavior,53,5,4,54,7.41
Abnormal duodenum morphology,87,5,4,88,4.55
Abnormal ear morphology,1737,197,196,1738,11.28
Abnormal eating behavior,129,137,122,144,84.72
Abnormal electroretinogram,366,140,140,366,38.25
Abnormal emotional state,711,652,651,712,91.43
Abnormal endocrine morphology,118,35,35,118,29.66
Abnormal energy expenditure,12,3,2,13,15.38
Abnormal enzyme concentration or activity,744,414,413,745,55.44
Abnormal eosinophil morphology,73,86,69,90,76.67
Abnormal erythrocyte enzyme concentration or activity,49,17,16,50,32.0
Abnormal erythrocyte morphology,1245,662,654,1253,52.19
Abnormal external nose morphology,990,36,36,990,3.64
Abnormal eyelash morphology,343,282,275,350,78.57
Abnormal facial expression,191,72,71,192,36.98
Abnormal facial skeleton morphology,1667,1324,1314,1677,78.35
Abnormal fallopian tube morphology,27,36,27,36,75.0
Abnormal female reproductive system physiology,385,72,71,386,18.39
Abnormal femur morphology,702,4,3,703,0.43
Abnormal fetal cardiovascular morphology,53,73,49,77,63.64
Abnormal fetal genitourinary system morphology,13,2,2,13,15.38
Abnormal fetal morphology,371,307,291,387,75.19
Abnormal fontanelle morphology,240,23,23,240,9.58
Abnormal foot morphology,1783,226,226,1783,12.68
Abnormal full-field electroretinogram,328,106,106,328,32.32
Abnormal globus pallidus morphology,27,8,7,28,25.0
Abnormal hallux morphology,213,9,9,213,4.23
Abnormal hard palate morphology,85,104,81,108,75.0
Abnormal head blood vessel morphology,83,7,7,83,8.43
Abnormal head movements,41,56,40,57,70.18
Abnormal heart valve morphology,381,336,326,391,83.38
Abnormal helix morphology,189,195,183,201,91.04
Abnormal hemoglobin concentration,20,16,15,21,71.43
Abnormal hindbrain morphology,1071,984,982,1073,91.52
Abnormal ileum morphology,45,2,1,46,2.17
Abnormal immune serum protein physiology,48,23,22,49,44.9
Abnormal incisor morphology,78,62,58,82,70.73
Abnormal intrahepatic bile duct morphology,32,4,3,33,9.09
Abnormal iris pigmentation,148,18,18,148,12.16
Abnormal joint morphology,1486,365,363,1488,24.4
Abnormal lacrimal duct morphology,57,5,4,58,6.9
Abnormal larynx morphology,164,172,151,185,81.62
Abnormal lateral ventricle morphology,131,25,24,132,18.18
Abnormal left ventricular end-diastolic volume,23,11,10,24,41.67
Abnormal length of corpus callosum,10,2,1,11,9.09
Abnormal leukocyte enzyme concentration or activity,5,5,4,6,66.67
Abnormal limb epiphysis morphology,189,143,135,197,68.53
Abnormal liver enzyme activity or concentration,14,18,14,18,77.78
Abnormal liver metabolite concentration,209,194,185,218,84.86
Abnormal liver physiology,27,14,13,28,46.43
Abnormal lower limb epiphysis morphology,148,105,91,162,56.17
Abnormal lung lobation,44,46,39,51,76.47
Abnormal lymphatic vessel morphology,18,23,15,26,57.69
Abnormal macrophage morphology,48,49,45,52,86.54
Abnormal mast cell morphology,8,14,8,14,57.14
Abnormal mean corpuscular volume,63,23,22,64,34.38
Abnormal metabolism,165,166,154,177,87.01
Abnormal metaphyseal trabeculation,26,31,25,32,78.12
Abnormal middle phalanx morphology of the hand,71,71,68,74,91.89
Abnormal mitochondria in muscle tissue,48,62,45,65,69.23
Abnormal mitral valve physiology,210,169,163,216,75.46
Abnormal morphology of the great vessels,826,726,714,838,85.2
Abnormal morphology of the limbic system,52,59,49,62,79.03
Abnormal morphology of the olfactory bulb,36,39,35,40,87.5
Abnormal morphology of ulna,177,16,15,178,8.43
Abnormal motor evoked potentials,12,6,5,13,38.46
Abnormal muscle fiber alpha dystroglycan,12,16,12,16,75.0
Abnormal muscle fiber morphology,294,274,272,296,91.89
Abnormal muscle tissue metabolite concentration,64,54,50,68,73.53
Abnormal nail attachment,24,25,22,27,81.48
Abnormal nasal septum morphology,25,24,19,30,63.33
Abnormal nasal skeleton morphology,12,19,11,20,55.0
Abnormal nasolacrimal system morphology,83,86,81,88,92.05
Abnormal nasopharynx morphology,200,194,182,212,85.85
Abnormal negative emotional state,5,10,5,10,50.0
Abnormal neuron morphology,85,58,57,86,66.28
Abnormal nonverbal communicative behavior,121,121,115,127,90.55
Abnormal number of teeth,864,158,158,864,18.29
Abnormal odontoid process morphology,34,48,32,50,64.0
Abnormal ossification involving the femoral head and neck,25,33,25,33,75.76
Abnormal ovarian morphology,179,40,39,180,21.67
Abnormal palate morphology,1503,1090,1085,1508,71.95
Abnormal palmar dermatoglyphics,769,264,262,771,33.98
Abnormal pelvic girdle bone morphology,973,633,625,981,63.71
Abnormal pelvis bone morphology,22,5,5,22,22.73
Abnormal pericardium morphology,84,86,79,91,86.81
Abnormal peripheral myelination,113,107,105,115,91.3
Abnormal peristalsis,25,31,23,33,69.7
Abnormal periungual morphology,23,24,21,26,80.77
Abnormal phagocytosis,5,4,3,6,50.0
