Gene Set Name,Precision,Recall,F1
Thoracic platyspondyly,0.42857142857142855,1.0,0.6
Decreased number of large peripheral myelinated nerve fibers,0.72,0.9,0.7999999999999999
Hypoplasia of the fovea,0.7333333333333333,0.9166666666666666,0.8148148148148148
Ketotic hypoglycemia,0.55,0.9166666666666666,0.6874999999999999
Decreased circulating androgen concentration,0.9692307692307692,0.9,0.9333333333333333
Submucous cleft palate,0.8191489361702128,0.8953488372093024,0.8555555555555555
Angiosarcoma,0.5,0.5,0.5
Postaxial hand polydactyly,0.9230769230769231,0.7578947368421053,0.8323699421965319
Peroneal muscle weakness,0.8571428571428571,0.75,0.7999999999999999
Arthralgia of the hip,0.5,0.7777777777777778,0.6086956521739131
Middle age onset,0.9404761904761905,0.92578125,0.9330708661417323
Abnormal nasal septum morphology,0.7916666666666666,0.76,0.7755102040816326
Iris coloboma,0.9565217391304348,0.850828729281768,0.9005847953216375
Abnormal caudate nucleus morphology,0.92,0.92,0.92
Abnormally folded helix,0.9310344827586207,0.2872340425531915,0.4390243902439025
Psychomotor deterioration,0.7142857142857143,1.0,0.8333333333333333
Impotence,0.8387096774193549,0.8387096774193549,0.8387096774193549
Erectile dysfunction,0.9104477611940298,0.7721518987341772,0.8356164383561644
Persistently decreased total neutrophil count,0.34615384615384615,1.0,0.5142857142857142
Noncompaction cardiomyopathy,0.68,0.5666666666666667,0.6181818181818183
Impaired mastication,0.9259259259259259,0.9615384615384616,0.9433962264150944
Broad nasal tip,0.972972972972973,0.8727272727272727,0.9201277955271565
Abnormal lymphatic vessel morphology,0.6521739130434783,0.8333333333333334,0.7317073170731708
Abnormal corpus striatum morphology,0.8863636363636364,0.9069767441860465,0.896551724137931
Calcific stippling,0.38461538461538464,1.0,0.5555555555555556
Abnormal leukocyte enzyme concentration or activity,0.8,0.8,0.8000000000000002
Ulnar deviation of the hand or of fingers of the hand,1.0,0.15625,0.2702702702702703
Sinus bradycardia,1.0,0.5,0.6666666666666666
Failure of eruption of permanent teeth,0.5,0.2,0.28571428571428575
Diarrhea,1.0,0.3930885529157667,0.5643410852713179
Anti-thyroglobulin antibody positivity,1.0,0.4444444444444444,0.6153846153846153
Coarctation of aorta,0.9328859060402684,0.896774193548387,0.9144736842105262
