Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
11 pairs of ribs,"10013, 100151683, 10630, 222663, 22995, 23013, 2317, 259232, 2879, 3339, 3930, 473, 545, 54897, 5590, 63976, 6628, 6657, 6662, 6910, 7798, 9469",2316,"10236, 10277, 10847, 11041, 126792, 1788, 1861, 22800, 23114, 2563, 26229, 29980, 4927, 526, 5557, 55835, 57465, 6223, 6497, 650, 65250, 65267, 8510, 8514, 8854, 8942, 93627",22,1,27,49
2-hydroxyglutarate aciduria,"3417, 3418, 6576, 728294, 79944",,51117,5,0,1,6
Abnormal 4th finger morphology,"23291, 2737",,"10765, 11011, 1280, 1297, 1298, 1299, 1301, 1302, 1462, 1836, 2122, 25942, 3549, 3767, 3769, 4036, 5293, 55214, 64132, 64412, 652, 6638, 6833, 6909, 6926, 79731, 80816, 8200, 84189, 84695, 8985, 90417, 90459, 9241",2,0,34,36
Abnormal abdomen morphology,"100506658, 10125, 1028, 103, 10312, 10367, 10507, 10551, 10651, 114548, 1281, 1493, 175, 2067, 2263, 22800, 2313, 2542, 2588, 2632, 2719, 283120, 286, 29110, 3425, 3569, 3586, 3643, 3717, 383, 3845, 4000, 4015, 4023, 4088, 4089, 4282, 4613, 472, 4853, 4864, 51119, 5156, 5167, 5290, 5351, 540, 5424, 55384, 5604, 5728, 5781, 595, 6239, 63894, 64127, 6609, 6663, 672, 673, 6929, 7030, 7040, 7099, 7137, 7157, 7248, 7490, 8085, 8314, 8737, 9076, 930, 9742, 9780",,"100, 100147744, 100151683, 10019, 10020, 10056, 10068, 10092, 10102, 10112, 10155, 10159, 10165, 10166, 101928376, 10216, 10225, 1029, 10464, 10466, 10483, 10525, 10526, 10535, 10555, 10568, 10577, 10616, 10653, 10661, 10714, 10730, 1080, 10984, 10991, 11117, 11133, 11145, 11222, 11231, 11232, 11274, 11277, 11281, 112812, 1130, 11311, 113220, 114049, 115650, 1161, 1186, 120227, 1230, 1244, 124454, 126328, 129285, 129563, 130589, 1312, 1340, 134218, 134353, 1352, 1355, 135886, 1371, 1374, 1376, 1380, 138050, 139818, 139886, 1441, 144811, 145173, 146059, 147007, 147372, 148738, 149233, 1497, 1499, 150, 151188, 1513, 1535, 1536, 155368, 155382, 157570, 1594, 1604, 162417, 165, 166379, 166785, 169792, 171023, 1716, 1717, 1718, 1719, 1736, 1738, 1776, 1777, 178, 1794, 1798, 1855, 19, 197131, 1984, 199221, 2006, 200734, 200894, 201294, 202018, 2035, 2038, 2050, 205327, 2057, 2065, 207, 2072, 2074, 208, 2108, 2109, 2110, 212, 2122, 2130, 2137, 2153, 2177, 2184, 219285, 2193, 2200, 2201, 2202, 2203, 221037, 2212, 222546, 2239, 2243, 226, 2271, 22806, 22808, 22861, 22868, 229, 23022, 2303, 23095, 23116, 23149, 23162, 2318, 23218, 23230, 2328, 23322, 23395, 23426, 23451, 23495, 2353, 23534, 23600, 238, 2492, 25, 2517, 2533, 2538, 2539, 2548, 2582, 25821, 25839, 2584, 25913, 25915, 2592, 25939, 25974, 26007, 26047, 26154, 26160, 26191, 2623, 26235, 2624, 26276, 26277, 2629, 2639, 26503, 26580, 26608, 2683, 27031, 27040, 27125, 27183, 2720, 27232, 27245, 2729, 2767, 2783, 2799, 2811, 2812, 2815, 2819, 2821, 284058, 284086, 284119, 284184, 284252, 285203, 285282, 285362, 2859, 28755, 28957, 28962, 28985, 29078, 2969, 29851, 29887, 2990, 2995, 29969, 3000, 30008, 30061, 3030, 3039, 3040, 3043, 3047, 3048, 3055, 3071, 3074, 3077, 3098, 3106, 3123, 3145, 3155, 3158, 3162, 3172, 3248, 326625, 3295, 331, 335, 3376, 337867, 338328, 3394, 34, 3423, 3431, 344, 3458, 3459, 348, 3481, 3492, 3516, 355, 3557, 3559, 356, 3560, 3561, 3572, 3575, 3592, 3594, 3604, 3636, 3654, 3655, 3659, 3662, 3663, 368, 3691, 37, 3702, 3716, 3718, 374291, 374354, 374393, 374879, 3756, 3767, 3782, 3783, 3784, 38, 3815, 3875, 388015, 388662, 388962, 389421, 3911, 3930, 3931, 3932, 3981, 3984, 3988, 3991, 4004, 4041, 404672, 4054, 4067, 4068, 4087, 411, 4125, 4141, 4173, 421, 4210, 4233, 427, 435, 4351, 4352, 4358, 444, 445, 4485, 4508, 4509, 4519, 4535, 4536, 4537, 4538, 4540, 4541, 4547, 4556, 4566, 4567, 4570, 4574, 4577, 4578, 4591, 4594, 4598, 4607, 4615, 4633, 4645, 4665, 4668, 4669, 4688, 4689, 4694, 4695, 4700, 4709, 4715, 4716, 4719, 4720, 4722, 4723, 4724, 4726, 4728, 4729, 4758, 4792, 4851, 4854, 4860, 4869, 4882, 4883, 4893, 4920, 4938, 498, 5009, 5052, 50619, 50628, 5073, 5091, 50943, 5095, 5096, 51, 5105, 51067, 51081, 51095, 51099, 51103, 51204, 51218, 513, 51300, 51311, 5133, 514, 51422, 51473, 51520, 51626, 51651, 51660, 51750, 51752, 51816, 5184, 5189, 5190, 5191, 5192, 5193, 5194, 5195, 5205, 5236, 5244, 5251, 5256, 5257, 526, 5261, 5264, 5265, 5277, 5286, 5293, 5294, 5295, 5311, 5313, 5314, 5325, 53335, 5339, 537, 5373, 5428, 54345, 54440, 5450, 54517, 54532, 54539, 54567, 546, 5468, 5476, 54790, 549, 54903, 54914, 54968, 55005, 55033, 55072, 55109, 55135, 55210, 55240, 55315, 55340, 55343, 55503, 55505, 5551, 55532, 55572, 55593, 55630, 55636, 55651, 55670, 55687, 5573, 55764, 55768, 55788, 5580, 55823, 55858, 55863, 5589, 55901, 56052, 56244, 5660, 56623, 5692, 56937, 56945, 5696, 5698, 56984, 5699, 570, 57003, 57061, 57104, 57128, 57169, 57192, 57231, 57410, 5745, 57511, 57514, 57531, 57539, 57545, 57572, 5771, 57728, 57817, 5788, 5824, 5825, 5828, 5830, 5836, 58484, 5873, 5880, 5894, 5896, 5897, 5922, 596, 5966, 5978, 5982, 5993, 5994, 6005, 6006, 6007, 6016, 6023, 60386, 604, 60468, 60561, 60684, 6097, 613, 6231, 6237, 6288, 6303, 6309, 6329, 633, 6341, 63901, 6392, 63924, 64131, 64135, 64240, 64241, 6427, 64421, 6448, 6497, 6499, 650, 65082, 6513, 6514, 6521, 653361, 654, 6573, 6576, 6578, 6584, 65992, 6654, 6655, 6689, 669, 6696, 6708, 6710, 6711, 6718, 6729, 675, 6772, 6774, 6775, 6778, 6786, 6804, 6811, 6813, 6833, 6834, 6850, 686, 6888, 6899, 6916, 6925, 6927, 6948, 699, 701, 7012, 7015, 7019, 7042, 7043, 7046, 7048, 7066, 708, 7086, 7132, 7133, 7139, 7167, 7174, 720, 7249, 7284, 7289, 7290, 7293, 7298, 7351, 7353, 7372, 7381, 7389, 7390, 7403, 7458, 7461, 7468, 7474, 7504, 7518, 7535, 7547, 755, 760, 7840, 7841, 788, 79053, 79133, 79158, 79258, 79415, 79621, 79631, 79633, 79650, 79651, 79722, 79728, 79796, 79848, 79868, 79875, 79947, 79989, 80169, 80216, 80224, 80270, 80739, 8076, 80781, 81, 81031, 811, 81570, 81858, 8216, 8302, 83483, 83700, 83706, 83737, 84061, 841, 84153, 84163, 84168, 8425, 84277, 843, 84317, 84334, 84433, 84529, 846, 84665, 8468, 84701, 8482, 84833, 84868, 84936, 84987, 8504, 8517, 85365, 8546, 85476, 8565, 8567, 857, 8573, 8600, 861, 8625, 8647, 8651, 867, 8676, 875, 8788, 8792, 8799, 8802, 8813, 8818, 8854, 8883, 8929, 8943, 9031, 9051, 9056, 91147, 915, 916, 91647, 91662, 9184, 91869, 919, 91942, 91949, 92579, 93183, 9319, 9371, 9377, 9382, 939, 940, 94005, 9409, 9420, 9451, 9487, 950, 9508, 9569, 959, 9632, 9646, 9652, 9663, 970, 9702, 9719, 975, 9839, 9842, 987, 9927, 9939, 9948, 9966, 9968, 9971, 9997",75,0,818,893
Abnormal acetabulum morphology,"1280, 200734, 2131, 2132, 2261, 2588, 2879, 3479, 3480, 4035, 4882, 6774, 7421, 8200, 85301",,"1001, 100151683, 10060, 10082, 10195, 10235, 10262, 10269, 1028, 10293, 10297, 10312, 10371, 10491, 10526, 1062, 10660, 10664, 10682, 10683, 10717, 10733, 10847, 10908, 10940, 11005, 11014, 1108, 11117, 11128, 11154, 112752, 11285, 113189, 114548, 1146, 1184, 118429, 1186, 120227, 121340, 124583, 126792, 1277, 1278, 1281, 128674, 129285, 1297, 1298, 1299, 1300, 1301, 1302, 1311, 132884, 134218, 134701, 138050, 1387, 139285, 142680, 1436, 145258, 145873, 1490, 150468, 1513, 153241, 153642, 157570, 1594, 161742, 165, 166929, 168667, 170691, 1718, 1723, 1747, 1749, 175, 1750, 1758, 176, 1763, 1788, 1836, 1855, 1857, 1906, 1909, 1947, 1954, 202018, 2033, 203859, 2067, 2077, 2121, 2122, 2137, 2146, 2192, 219844, 2200, 2201, 2202, 222663, 2245, 2253, 2254, 2255, 2260, 2263, 22800, 22808, 22827, 22856, 22858, 22995, 23118, 2316, 23169, 2317, 23184, 23187, 23213, 23233, 23314, 23322, 2335, 23363, 23384, 23431, 23432, 23443, 23483, 23498, 23522, 23545, 23586, 23592, 23594, 23761, 249, 25, 2517, 2535, 255758, 257, 25836, 25839, 25885, 25886, 2590, 2591, 25911, 26123, 26146, 26160, 26175, 26227, 26229, 26503, 2688, 2690, 2692, 2693, 2697, 27152, 2719, 2720, 27343, 2736, 2737, 2773, 2778, 2799, 283120, 285203, 285362, 285590, 286053, 28962, 28981, 29072, 29123, 2972, 29887, 29895, 2990, 29928, 29940, 29957, 29968, 29980, 30008, 3110, 3207, 3209, 3239, 3248, 3265, 3313, 3339, 3373, 3400, 340419, 3417, 3418, 342184, 3423, 3425, 3481, 3483, 3516, 3547, 3549, 3551, 3557, 3561, 3572, 3636, 372, 374654, 3759, 3835, 3845, 387733, 3899, 3911, 392255, 3930, 3955, 3977, 4000, 4010, 4015, 4038, 4041, 4052, 4053, 4054, 406932, 4087, 4088, 4089, 411, 4125, 4126, 4148, 415, 4174, 4222, 4233, 4256, 4297, 4313, 4318, 4322, 4323, 444, 4488, 4507, 4591, 4613, 4621, 4669, 4750, 4758, 4763, 4784, 4796, 4851, 4853, 4880, 4883, 4893, 4897, 4920, 4921, 4982, 4998, 5000, 5015, 5034, 50485, 50515, 5077, 50814, 50964, 51025, 51053, 51082, 51098, 51119, 5116, 51199, 51259, 5130, 51360, 5139, 5144, 51594, 51626, 51659, 5167, 51715, 5176, 51776, 5190, 5191, 5251, 5295, 5307, 5308, 5324, 5331, 5332, 5351, 5352, 5358, 54, 54187, 54209, 5426, 5447, 5449, 545, 54567, 5476, 5479, 54808, 54903, 54928, 5500, 55033, 55112, 55151, 55191, 55315, 55325, 55343, 55503, 55599, 55603, 55650, 5566, 5567, 55681, 55697, 55699, 55703, 5573, 55764, 55790, 55835, 55858, 55869, 55906, 5593, 5594, 5604, 5605, 56172, 5626, 56603, 5689, 56915, 56937, 56975, 57020, 57167, 57222, 5744, 5745, 57492, 57514, 57539, 57545, 57560, 57572, 57688, 57728, 5781, 579, 5830, 5831, 5881, 5885, 5894, 5898, 5932, 59341, 5977, 60, 6016, 6023, 60529, 60561, 60676, 60681, 6134, 6137, 6210, 6237, 6239, 6299, 633, 63901, 6399, 64094, 64131, 64132, 64135, 64175, 6424, 64324, 64327, 64359, 64412, 6448, 6452, 6468, 6469, 6473, 64802, 64841, 649, 6497, 650, 65082, 652, 65250, 6578, 658, 6597, 6598, 65992, 6605, 6628, 6654, 6655, 6657, 6658, 6662, 6678, 6697, 6729, 673, 6777, 6786, 6885, 6905, 6910, 6911, 6913, 6916, 6926, 6938, 6949, 695, 7040, 7042, 7043, 7046, 7048, 7066, 7227, 727857, 7291, 7305, 7468, 7471, 7473, 7474, 7475, 7476, 7480, 7518, 755, 760, 7704, 7840, 78989, 79087, 79158, 79577, 79583, 79631, 79659, 79705, 79796, 79809, 79848, 79867, 79875, 79879, 80184, 80185, 80199, 8022, 80254, 8036, 8074, 8076, 8091, 8092, 81031, 81620, 81794, 81796, 8216, 8243, 8318, 83452, 83706, 83987, 84068, 84188, 8443, 84570, 84572, 846, 84667, 84700, 8481, 8493, 8517, 8540, 8546, 860, 8600, 8626, 867, 871, 875, 8792, 8813, 8820, 8838, 8942, 8945, 89884, 89891, 89970, 90, 9060, 90993, 91147, 91179, 91252, 9126, 9131, 91461, 91754, 9179, 92002, 92344, 9241, 9247, 9321, 9343, 9361, 9365, 9382, 9401, 9419, 9427, 9451, 9469, 9496, 9533, 9573, 9653, 9663, 9719, 9742, 9759, 9775, 9786, 9791, 9820, 9842, 9851, 9871, 9896, 990, 9917, 9935, 9939, 9949, 998",15,0,594,609
Abnormal activity of mitochondrial respiratory chain,"100303755, 10102, 10128, 1020, 10939, 112812, 115286, 116228, 119559, 122961, 123263, 124454, 125170, 126328, 128240, 132001, 1327, 1339, 137682, 1468, 1537, 1716, 200205, 23479, 25821, 25828, 26235, 2671, 27089, 27245, 27247, 283459, 284184, 28958, 28976, 29960, 3735, 374291, 388753, 388962, 400916, 4358, 4535, 4536, 4537, 4556, 4567, 4694, 4695, 4700, 4702, 4704, 4705, 4709, 4713, 4714, 4715, 4716, 4718, 4719, 4720, 4722, 4723, 4724, 4726, 4728, 4729, 493753, 4976, 50484, 51021, 51067, 51079, 51102, 51103, 51117, 51241, 51300, 514, 51649, 54148, 5428, 54539, 54675, 54802, 54902, 54931, 54968, 55037, 55572, 55687, 55750, 55863, 55967, 56945, 57038, 57176, 57505, 57570, 60528, 617, 6182, 6389, 63899, 6390, 6392, 63931, 64116, 64432, 708, 7084, 7381, 7388, 790955, 79133, 79587, 79731, 79736, 80224, 80324, 84300, 84334, 84340, 84705, 85476, 8802, 8803, 9054, 90624, 9131, 91942, 9200, 92609, 9377, 9997","1329, 4540, 58472","100131801, 25915, 29078, 291, 29928, 4697, 498, 513, 55278, 55699, 6329, 80308, 91574, 91647, 92667",135,3,15,150
Abnormal anatomic location of the heart,"10991, 1767, 200894, 2626, 2657, 4000, 4838, 57545, 745, 7547, 78987",,"1000, 100128908, 10084, 10126, 10269, 10309, 10464, 10560, 10847, 115399, 115948, 118856, 123016, 123872, 132884, 139212, 146845, 152110, 153241, 161582, 164781, 168507, 1770, 1954, 197131, 200373, 203286, 2121, 2187, 219844, 219854, 220136, 221421, 2302, 23090, 23116, 23241, 23247, 23322, 23483, 23568, 23639, 246176, 25776, 25790, 25914, 25970, 25981, 26123, 2622, 27019, 27031, 27077, 27130, 27148, 2735, 284086, 339829, 345643, 345895, 352909, 3664, 374407, 388389, 403, 4087, 4487, 5015, 5062, 51259, 51314, 51364, 5147, 51626, 51684, 5311, 5396, 54014, 54585, 54768, 54806, 54880, 54903, 54919, 54970, 55036, 55130, 55172, 55329, 5566, 5567, 55788, 55997, 56623, 56683, 57096, 5818, 6091, 6103, 63895, 64446, 65062, 65250, 6674, 7490, 7543, 79583, 79600, 79645, 79770, 79848, 79867, 79925, 79989, 80173, 80184, 80210, 80776, 80781, 83538, 83544, 8382, 83861, 84314, 84667, 8481, 85016, 85452, 85478, 8626, 8701, 89765, 91147, 92749, 93, 93233, 95681, 9731, 9786, 9851",11,0,140,151
Abnormal arm span,"1298, 1299, 1742, 2200, 4094, 6399, 64324, 7043","2690, 6473","10297, 1297, 6874",8,2,3,11
Abnormal auditory evoked potentials,"10397, 1161, 1678, 2074, 2581, 4976, 57731, 79628, 81624, 9381",,"10682, 1593, 1910, 2072, 3735, 4001, 4621, 4747, 51501, 5660, 57165, 64802, 6663, 7841, 84668, 8898, 9181, 9750",10,0,18,28
Abnormal bladder morphology,"10398, 1277, 1278, 1281, 1289, 1290, 135886, 2006, 2202, 2294, 23556, 30008, 341640, 359, 3655, 3670, 3845, 3914, 3918, 3984, 4088, 4629, 4638, 5053, 51085, 5339, 54361, 54903, 554, 57167, 57545, 6091, 653361, 6794, 7080, 72, 7461, 8195, 8626, 9968","2247, 9780","1009, 10516, 10526, 11117, 114049, 155368, 155382, 165, 2200, 2201, 23426, 25, 25802, 26608, 2969, 3691, 3909, 4015, 4052, 4054, 4087, 444, 4714, 4882, 4883, 51360, 51733, 5351, 538, 5447, 55033, 56937, 5832, 5880, 5982, 633, 6497, 6804, 7042, 7043, 7046, 7048, 7355, 745, 7458, 79796, 79875, 8076, 81031, 84163, 8425, 84277, 8468, 875, 9031, 92002, 92579, 93649, 9569, 9860",40,2,60,100
