Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
11 pairs of ribs,49,23,22,50,44.0
2-hydroxyglutarate aciduria,6,5,5,6,83.33
Abnormal 4th finger morphology,36,2,2,36,5.56
Abnormal abdomen morphology,893,75,75,893,8.4
Abnormal acetabulum morphology,609,15,15,609,2.46
Abnormal activity of mitochondrial respiratory chain,150,138,135,153,88.24
Abnormal anatomic location of the heart,151,11,11,151,7.28
Abnormal arm span,11,10,8,13,61.54
Abnormal auditory evoked potentials,28,10,10,28,35.71
Abnormal bladder morphology,100,42,40,102,39.22
Abnormal blistering of the skin,116,98,98,116,84.48
Abnormal blood gas level,55,9,9,55,16.36
Abnormal blood inorganic cation concentration,199,175,172,202,85.15
Abnormal blood sodium concentration,70,50,48,72,66.67
Abnormal blood urea nitrogen concentration,25,12,12,25,48.0
Abnormal blood zinc concentration,8,9,5,12,41.67
Abnormal brain positron emission tomography,24,12,12,24,50.0
Abnormal branching pattern of the aortic arch,34,21,21,34,61.76
Abnormal bronchoalveolar lavage fluid morphology,19,20,17,22,77.27
Abnormal calcification of the carpal bones,6,2,2,6,33.33
Abnormal calf musculature morphology,98,62,62,98,63.27
Abnormal cardiac biomarker test,7,14,7,14,50.0
Abnormal cardiac septum morphology,876,552,550,878,62.64
Abnormal carotid artery morphology,106,63,63,106,59.43
Abnormal caudate nucleus morphology,25,21,21,25,84.0
Abnormal cerebellar cortex morphology,5,1,1,5,20.0
Abnormal cerebrospinal fluid morphology,682,64,64,682,9.38
Abnormal cervical spine morphology,36,20,14,42,33.33
Abnormal chorioretinal morphology,178,133,131,180,72.78
Abnormal chromosome morphology,14,13,10,17,58.82
Abnormal circulating adrenocorticotropin concentration,48,45,43,50,86.0
Abnormal circulating amino acid concentration,184,150,147,187,78.61
Abnormal circulating bilirubin concentration,142,90,89,143,62.24
Abnormal circulating carboxylic acid concentration,409,12,12,409,2.93
Abnormal circulating cholesterol concentration,163,106,104,165,63.03
Abnormal circulating citrulline concentration,25,4,4,25,16.0
Abnormal circulating copper concentration,14,18,11,21,52.38
Abnormal circulating globulin concentration,14,2,2,14,14.29
Abnormal circulating gonadotropin concentration,131,21,21,131,16.03
Abnormal circulating insulin concentration,162,78,74,166,44.58
Abnormal circulating iron concentration,23,17,16,24,66.67
Abnormal circulating isoleucine concentration,6,5,5,6,83.33
Abnormal circulating lactate dehydrogenase concentration,102,65,65,102,63.73
Abnormal circulating lipid concentration,339,242,237,344,68.9
Abnormal circulating nucleobase concentration,49,2,2,49,4.08
Abnormal circulating ornithine concentration,5,8,5,8,62.5
Abnormal circulating serine concentration,5,5,5,5,100.0
Abnormal circulating sex hormone concentration,123,92,90,125,72.0
Abnormal corneal epithelium morphology,196,104,104,196,53.06
Abnormal corneal reflex,12,3,3,12,25.0
