Gene Set Name,Precision,Recall,F1
11 pairs of ribs,0.9565217391304348,0.4489795918367347,0.6111111111111112
2-hydroxyglutarate aciduria,1.0,0.8333333333333334,0.9090909090909091
Abnormal 4th finger morphology,1.0,0.05555555555555555,0.10526315789473684
Abnormal abdomen morphology,1.0,0.083986562150056,0.15495867768595042
Abnormal acetabulum morphology,1.0,0.024630541871921183,0.04807692307692307
Abnormal activity of mitochondrial respiratory chain,0.9782608695652174,0.9,0.9375
Abnormal anatomic location of the heart,1.0,0.0728476821192053,0.13580246913580246
Abnormal arm span,0.8,0.7272727272727273,0.761904761904762
Abnormal auditory evoked potentials,1.0,0.35714285714285715,0.5263157894736842
Abnormal bladder morphology,0.9523809523809523,0.4,0.5633802816901408
Abnormal blistering of the skin,1.0,0.8448275862068966,0.9158878504672897
Abnormal blood gas level,1.0,0.16363636363636364,0.28125
Abnormal blood inorganic cation concentration,0.9828571428571429,0.864321608040201,0.9197860962566845
Abnormal blood sodium concentration,0.96,0.6857142857142857,0.7999999999999999
Abnormal blood urea nitrogen concentration,1.0,0.48,0.6486486486486487
Abnormal blood zinc concentration,0.5555555555555556,0.625,0.5882352941176471
Abnormal brain positron emission tomography,1.0,0.5,0.6666666666666666
Abnormal branching pattern of the aortic arch,1.0,0.6176470588235294,0.7636363636363637
Abnormal bronchoalveolar lavage fluid morphology,0.85,0.8947368421052632,0.8717948717948718
Abnormal calcification of the carpal bones,1.0,0.3333333333333333,0.5
Abnormal calf musculature morphology,1.0,0.6326530612244898,0.775
Abnormal cardiac biomarker test,0.5,1.0,0.6666666666666666
Abnormal cardiac septum morphology,0.9963768115942029,0.6278538812785388,0.7703081232492998
Abnormal carotid artery morphology,1.0,0.5943396226415094,0.7455621301775148
Abnormal caudate nucleus morphology,1.0,0.84,0.9130434782608696
Abnormal cerebellar cortex morphology,1.0,0.2,0.33333333333333337
Abnormal cerebrospinal fluid morphology,1.0,0.093841642228739,0.17158176943699732
Abnormal cervical spine morphology,0.7,0.3888888888888889,0.5
Abnormal chorioretinal morphology,0.9849624060150376,0.7359550561797753,0.842443729903537
Abnormal chromosome morphology,0.7692307692307693,0.7142857142857143,0.7407407407407408
Abnormal circulating adrenocorticotropin concentration,0.9555555555555556,0.8958333333333334,0.924731182795699
Abnormal circulating amino acid concentration,0.98,0.7989130434782609,0.8802395209580839
Abnormal circulating bilirubin concentration,0.9888888888888889,0.6267605633802817,0.7672413793103449
Abnormal circulating carboxylic acid concentration,1.0,0.029339853300733496,0.057007125890736345
Abnormal circulating cholesterol concentration,0.9811320754716981,0.6380368098159509,0.7732342007434944
Abnormal circulating citrulline concentration,1.0,0.16,0.2758620689655173
Abnormal circulating copper concentration,0.6111111111111112,0.7857142857142857,0.6875000000000001
Abnormal circulating globulin concentration,1.0,0.14285714285714285,0.25
Abnormal circulating gonadotropin concentration,1.0,0.16030534351145037,0.2763157894736842
Abnormal circulating insulin concentration,0.9487179487179487,0.4567901234567901,0.6166666666666666
Abnormal circulating iron concentration,0.9411764705882353,0.6956521739130435,0.7999999999999999
Abnormal circulating isoleucine concentration,1.0,0.8333333333333334,0.9090909090909091
Abnormal circulating lactate dehydrogenase concentration,1.0,0.6372549019607843,0.778443113772455
Abnormal circulating lipid concentration,0.9793388429752066,0.6991150442477876,0.8158347676419966
Abnormal circulating nucleobase concentration,1.0,0.04081632653061224,0.07843137254901959
Abnormal circulating ornithine concentration,0.625,1.0,0.7692307692307693
Abnormal circulating serine concentration,1.0,1.0,1.0
Abnormal circulating sex hormone concentration,0.9782608695652174,0.7317073170731707,0.8372093023255813
Abnormal corneal epithelium morphology,1.0,0.5306122448979592,0.6933333333333334
Abnormal corneal reflex,1.0,0.25,0.4
Abnormal corneal thickness,1.0,0.21935483870967742,0.3597883597883598
Abnormal coronary artery origin,0.75,0.375,0.5
Abnormal corpus striatum morphology,0.972972972972973,0.8372093023255814,0.9
Abnormal cortical bone morphology,0.9868421052631579,0.12274959083469722,0.2183406113537118
Abnormal corticospinal tract morphology,1.0,0.24,0.3870967741935484
Abnormal curvature of the vertebral column,1.0,0.5368906455862977,0.6986712387483925
Abnormal dark-adapted bright flash electroretinogram,1.0,0.5263157894736842,0.6896551724137931
Abnormal dental root morphology,0.918918918918919,0.5862068965517241,0.7157894736842105
Abnormal drinking behavior,1.0,0.09433962264150944,0.1724137931034483
Abnormal duodenum morphology,1.0,0.10344827586206896,0.1875
Abnormal ear morphology,1.0,0.11283822682786414,0.2027935851008795
Abnormal eating behavior,0.8809523809523809,0.5736434108527132,0.6948356807511736
Abnormal electroretinogram,1.0,0.46174863387978143,0.6317757009345795
Abnormal emotional state,0.9972451790633609,0.509142053445851,0.6741154562383612
Abnormal endocrine morphology,1.0,0.4067796610169492,0.5783132530120482
Abnormal energy expenditure,1.0,0.5833333333333334,0.7368421052631579
Abnormal enzyme concentration or activity,1.0,0.6868279569892473,0.8143426294820717
Abnormal eosinophil morphology,0.96,0.6575342465753424,0.7804878048780488
Abnormal erythrocyte enzyme concentration or activity,1.0,0.5102040816326531,0.6756756756756758
Abnormal erythrocyte morphology,0.9887640449438202,0.42409638554216866,0.5935919055649241
Abnormal external nose morphology,1.0,0.024242424242424242,0.04733727810650888
Abnormal eyelash morphology,1.0,0.4606413994169096,0.6307385229540918
Abnormal facial expression,1.0,0.3193717277486911,0.48412698412698413
Abnormal facial skeleton morphology,0.9967532467532467,0.55248950209958,0.7109224237746042
Abnormal fallopian tube morphology,0.8518518518518519,0.8518518518518519,0.8518518518518519
Abnormal female reproductive system physiology,1.0,0.2909090909090909,0.45070422535211263
Abnormal femur morphology,1.0,0.042735042735042736,0.08196721311475409
Abnormal fetal cardiovascular morphology,0.7636363636363637,0.7924528301886793,0.7777777777777778
Abnormal fetal genitourinary system morphology,1.0,0.15384615384615385,0.2666666666666667
Abnormal fetal morphology,0.9135338345864662,0.6549865229110512,0.7629513343799059
Abnormal fontanelle morphology,1.0,0.07916666666666666,0.14671814671814673
Abnormal foot morphology,1.0,0.09029725182277061,0.16563786008230452
Abnormal full-field electroretinogram,1.0,0.3719512195121951,0.5422222222222222
Abnormal globus pallidus morphology,1.0,0.25925925925925924,0.4117647058823529
Abnormal hallux morphology,1.0,0.023474178403755867,0.045871559633027525
Abnormal hard palate morphology,0.8260869565217391,0.6705882352941176,0.7402597402597403
Abnormal head blood vessel morphology,1.0,0.08433734939759036,0.15555555555555556
Abnormal head movements,0.7692307692307693,0.7317073170731707,0.7499999999999999
Abnormal heart valve morphology,0.9740740740740741,0.6902887139107612,0.8079877112135176
Abnormal helix morphology,1.0,0.8201058201058201,0.9011627906976745
Abnormal hemoglobin concentration,1.0,0.8,0.888888888888889
