Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
Hypoplastic aortic arch,"1387, 22827, 2294, 5500, 7547",6899,"100128908, 1482, 2033, 2697, 2783, 54880, 5518, 57466, 6885",5,1,9,14
Left ventricular hypertrophy,"10021, 10060, 10128, 10229, 10290, 11155, 1278, 153642, 1756, 1837, 19, 1956, 2273, 2318, 2548, 26229, 26235, 2717, 274, 291, 2997, 3030, 3032, 3291, 3643, 3762, 4015, 4088, 4624, 4633, 4634, 4878, 5350, 5428, 54931, 5663, 57158, 57724, 6016, 6261, 6331, 6389, 6840, 6868, 70, 708, 7092, 7137, 7139, 7273, 7276, 776, 79147, 79158, 8216, 84665, 84705, 8557, 88, 9049, 91624, 9382",153,"100147744, 10159, 10585, 10651, 11232, 1482, 27010, 284086, 29954, 29957, 4221, 4511, 4512, 4513, 4514, 4519, 4535, 4540, 4541, 4558, 4564, 4566, 4567, 4568, 4572, 4574, 4575, 4577, 4578, 4720, 4841, 50484, 51163, 51218, 51241, 51343, 51778, 5277, 55739, 5664, 56652, 57017, 57539, 57592, 582, 58499, 6341, 6390, 6392, 644096, 7841, 79140, 83715, 84100, 9469",62,1,55,117
Undetectable electroretinogram,"10002, 10083, 1200, 1201, 1406, 167691, 2055, 23155, 23418, 4647, 4901, 5147, 5538, 55624, 55812, 55857, 57096, 57545, 6121, 64802, 7287, 8842, 9227",1184,"28982, 3295, 346007, 5130, 768206, 9742",23,1,6,29
Abnormal urine magnesium concentration,"10686, 149461, 2767, 3766, 476, 486, 6559, 846","140803, 54795","55764, 58528",8,2,2,10
Raynaud phenomenon,"103, 11277, 1282, 221895, 25939, 26191, 340061, 3586, 3654, 3663, 51284, 51816, 6696, 6775, 7128",,"100147744, 10269, 10318, 10535, 1188, 134353, 1380, 1493, 1773, 189, 2113, 2213, 2215, 27235, 2982, 29927, 3123, 3265, 3500, 3684, 3930, 4000, 4204, 5133, 54, 54899, 54941, 55024, 6303, 640, 64135, 6559, 720, 721, 7292, 7332, 79621, 79932, 81575, 84153",15,0,40,55
Hepatic fibrosis,"10165, 10507, 10616, 10806, 10908, 113220, 1174, 123016, 123264, 129880, 132320, 1356, 148738, 1499, 166379, 1716, 1777, 178, 197131, 199221, 200931, 203286, 23322, 23534, 26146, 26160, 27031, 27130, 27241, 2819, 285203, 2859, 3043, 3376, 3516, 3592, 3643, 3663, 37, 3988, 4067, 4233, 427, 435, 4351, 4358, 4485, 4547, 4750, 4851, 4867, 49855, 51057, 51259, 51473, 51651, 5189, 5244, 5256, 5257, 5261, 5314, 5346, 537, 5373, 54532, 54567, 54585, 55112, 55212, 55505, 5557, 55764, 55768, 56623, 57096, 57410, 57514, 57539, 57545, 57560, 57572, 57728, 57817, 582, 5825, 5836, 60561, 617, 6309, 65062, 6811, 6888, 6925, 7015, 7289, 7840, 79140, 79258, 79583, 79659, 79738, 79796, 79867, 79989, 80184, 80776, 8195, 84314, 8481, 8772, 8813, 89891, 9076, 91147, 9371, 9420, 9657, 9742, 9966, 9968","1277, 1999, 2023, 2629, 4087, 5290, 59, 7076, 80149","100147744, 11020, 147007, 157657, 169792, 22897, 22954, 26123, 261734, 27077, 284086, 3594, 4141, 5450, 54903, 55651, 55898, 583, 585, 6499, 6689, 79600, 79770, 79848, 79991, 80173, 84100, 84984, 92482, 9652",121,9,30,151
Subvalvular aortic stenosis,"127833, 1482, 171019, 2260, 23118, 2783, 4624, 4625, 51057, 5781, 701, 7547, 85366, 859, 9319, 9487, 9702, 9759","8301, 89910","2395, 54914, 64135, 699, 9184",18,2,5,23
Atypical behavior,"100033413, 100144748, 10015, 10059, 10075, 1009, 1013, 10133, 10165, 1026, 1027, 10274, 10277, 10280, 1029, 1030, 10320, 10347, 10367, 10381, 10452, 10461, 10472, 10479, 10533, 10577, 10594, 10681, 10716, 10730, 10743, 10815, 10891, 10908, 10991, 1103, 1106, 1107, 111, 11133, 11151, 11152, 1116, 11200, 112476, 11277, 11284, 1130, 1137, 114049, 114548, 114798, 1183, 120892, 121278, 1230, 1258, 1277, 128, 129607, 129880, 1312, 1374, 138050, 1387, 1392, 139411, 1399, 150094, 157680, 1593, 1610, 1634, 1639, 1641, 1644, 1654, 166379, 170302, 171023, 1741, 1742, 1760, 1786, 1788, 1798, 1804, 1806, 1813, 1814, 1815, 1816, 1859, 1861, 1893, 1917, 196, 196528, 1974, 1984, 2009, 2055, 207, 210, 215, 2182, 2239, 22808, 22861, 22866, 22871, 22901, 22906, 22907, 22926, 22943, 23013, 23022, 23025, 2303, 23040, 23067, 23096, 23135, 23152, 23162, 23221, 23230, 23241, 23261, 23314, 23322, 23334, 23389, 23394, 23400, 23405, 23435, 23476, 23499, 23503, 23600, 23746, 238, 24, 2475, 249, 25814, 25836, 25942, 25973, 25974, 25978, 26038, 26040, 26047, 26053, 26058, 26115, 26227, 2626, 2628, 2643, 26504, 2652, 26580, 267012, 2697, 2702, 2703, 271, 27161, 2717, 27245, 27315, 2736, 2737, 2742, 27429, 2746, 2767, 2775, 2778, 2780, 2782, 2784, 2799, 284058, 284098, 284111, 288, 2891, 2896, 2902, 2903, 2904, 29072, 2908, 29110, 29123, 2917, 2969, 29920, 29978, 3000, 30011, 3030, 3064, 3067, 3097, 3098, 311, 3178, 3181, 3188, 3190, 3251, 326, 3265, 3340, 3356, 339453, 339983, 340533, 3458, 3459, 3479, 348, 3481, 348980, 3492, 351, 3569, 3586, 361, 3662, 3663, 3691, 3708, 3712, 3714, 3717, 3720, 3786, 378884, 383, 3832, 3845, 3850, 3861, 388015, 388662, 389856, 391356, 3952, 3953, 3975, 3984, 4001, 400916, 403, 4035, 4070, 4089, 410, 412, 4126, 4128, 4131, 4137, 4157, 4160, 4204, 4208, 421, 4212, 4221, 427, 4287, 4292, 4297, 4330, 4340, 4352, 4436, 4487, 4524, 4595, 4615, 4647, 4653, 4659, 4669, 4692, 472, 4762, 4763, 477, 4771, 478, 4781, 4784, 4810, 4854, 4869, 488, 4884, 4893, 4914, 4915, 4929, 4935, 5009, 5015, 5053, 5063, 5071, 5080, 5111, 51111, 51114, 51119, 51132, 51227, 51259, 51284, 51322, 51341, 5138, 5144, 51473, 5155, 5159, 5189, 5193, 5216, 523, 5230, 526, 5277, 5281, 5290, 5324, 5332, 5371, 538, 5395, 540, 54209, 5424, 5426, 5428, 5430, 54413, 54487, 545, 54551, 54585, 546, 54664, 54714, 54790, 54806, 54820, 54832, 54834, 54862, 54880, 55023, 551, 55154, 5518, 55209, 5521, 5528, 5530, 55367, 55384, 55553, 55636, 55690, 55737, 55773, 55777, 55784, 55830, 55857, 55869, 5587, 55870, 5590, 55904, 5604, 5605, 5621, 5625, 5629, 5649, 56521, 5660, 56623, 5663, 5664, 56947, 56978, 57082, 57094, 57194, 5727, 5728, 57338, 57459, 57492, 57526, 57582, 57670, 57680, 57688, 5774, 5781, 5828, 58508, 5879, 5885, 5894, 5910, 5914, 5982, 5995, 6010, 6016, 6096, 6098, 6121, 613, 6239, 6295, 6304, 6311, 6323, 6324, 6326, 6328, 6334, 6335, 63895, 6390, 64072, 64127, 6427, 64324, 6448, 64601, 6469, 6472, 6492, 65018, 6506, 6507, 6509, 65109, 6521, 6529, 6532, 6535, 6558, 6575, 6595, 6597, 6598, 6601, 6602, 6605, 6608, 6609, 6616, 6622, 6638, 6647, 6653, 6654, 6657, 6659, 6664, 6683, 6687, 6697, 6709, 673, 6736, 6770, 6774, 6777, 6792, 6804, 6812, 6833, 6843, 6850, 6857, 6872, 6878, 6898, 6899, 6907, 6908, 6925, 6927, 6928, 6935, 6942, 6999, 7025, 7030, 7040, 7048, 7068, 7072, 7074, 7099, 7124, 7132, 7157, 7175, 720, 7204, 7248, 7249, 727676, 7299, 7305, 7337, 7343, 7345, 7351, 7399, 7403, 7415, 7458, 7461, 7466, 7468, 7532, 7543, 7545, 7546, 762, 7681, 773, 775, 776, 785, 7874, 78987, 79143, 7915, 79577, 79581, 79718, 79728, 79796, 79876, 79944, 80025, 80347, 80816, 8085, 8091, 811, 8120, 8131, 8148, 81562, 816, 818, 81887, 8214, 8216, 8239, 8242, 8243, 8289, 8295, 8314, 83394, 835, 83636, 8398, 8405, 84163, 84196, 84231, 846, 8481, 8493, 8518, 85358, 85440, 8573, 861, 8621, 867, 875, 8787, 8788, 8829, 8831, 8867, 8878, 8905, 8910, 8912, 8924, 8925, 8942, 8974, 899, 9031, 9049, 9101, 9126, 9128, 919, 9211, 9217, 93210, 9409, 94137, 9445, 950, 9569, 9620, 9627, 9681, 9690, 9699, 9723, 9739, 9757, 9780, 9782, 9829, 9839, 9915, 9968, 998",,"1000, 10002, 100147744, 10020, 10054, 10060, 10079, 10083, 10087, 10093, 100996717, 10134, 10137, 10157, 101928376, 10210, 10236, 1024, 1028, 10295, 10297, 1031, 10318, 10352, 10383, 10430, 10466, 10483, 10516, 10518, 10522, 10524, 10528, 10531, 105371045, 10555, 10558, 10560, 10585, 10587, 10630, 10641, 10659, 10664, 10682, 10686, 10717, 10735, 10765, 10771, 10785, 10804, 10806, 10841, 10847, 10894, 109, 10939, 10943, 10973, 11011, 11020, 11043, 1105, 11113, 11141, 11154, 11160, 1119, 11190, 11193, 11198, 11232, 11253, 112752, 112755, 112939, 11315, 113179, 113235, 113246, 11338, 1135, 1139, 114034, 1141, 114327, 114902, 1161, 116115, 116150, 116442, 116931, 1173, 1181, 1182, 1187, 1188, 118924, 118987, 1213, 122553, 123016, 123606, 124590, 125, 1259, 126, 1261, 127833, 1282, 128338, 128674, 129285, 1296, 1305, 130557, 1308, 131118, 131669, 132158, 132320, 134218, 135886, 136647, 1380, 1406, 140679, 1420, 1436, 145226, 145624, 1457, 147372, 1474, 147409, 148022, 1487, 149233, 1493, 1496, 1497, 1499, 1512, 1540, 1545, 155368, 155382, 157657, 158, 1584, 1585, 16, 160418, 161742, 162, 162417, 163786, 1638, 164, 1642, 1643, 1656, 165918, 166378, 167691, 1678, 169522, 1717, 1725, 1737, 1738, 175, 1757, 1759, 1773, 1781, 1801, 1802, 1807, 1909, 191, 1967, 1968, 197, 197322, 1981, 199221, 199857, 20, 200424, 200576, 2006, 200734, 201163, 203190, 2033, 2036, 2050, 205717, 2066, 2067, 2068, 2071, 2072, 2073, 2074, 2078, 2099, 2113, 2132, 2137, 2146, 2177, 2186, 22, 2202, 220296, 221037, 221078, 2213, 2215, 221692, 221895, 224, 2245, 2253, 2257, 2258, 2259, 2260, 2261, 22800, 22827, 22845, 22854, 22858, 22859, 22891, 2290, 22954, 2296, 22995, 22999, 23007, 23020, 23028, 23030, 23036, 23043, 23090, 23093, 23097, 23102, 23111, 23112, 23114, 23116, 2312, 23126, 23129, 2313, 23137, 2314, 23155, 23194, 23209, 23219, 2324, 23258, 2328, 23291, 23309, 23312, 23316, 23317, 2332, 23325, 2334, 23370, 23384, 23414, 23418, 23431, 23443, 23524, 23530, 2355, 23568, 23590, 23592, 23732, 23742, 23780, 24140, 24142, 24148, 2464, 2512, 2521, 253738, 254428, 2550, 2554, 2555, 2558, 2561, 2562, 2563, 2566, 25794, 2581, 2583, 25861, 2590, 25914, 2592, 259266, 2593, 25970, 25977, 26057, 26121, 26137, 26154, 26160, 26173, 261734, 2619, 26191, 26224, 2624, 26278, 2629, 2632, 26523, 2653, 26576, 26608, 26834, 26960, 26999, 27031, 2706, 27086, 27102, 27133, 27184, 27241, 27249, 27286, 2731, 2733, 27349, 2744, 2760, 2770, 2776, 2783, 2812, 282809, 283, 283209, 283450, 283489, 283652, 284086, 284361, 284403, 285, 28514, 285282, 2887, 2890, 2892, 2898, 2906, 29081, 291, 2956, 2961, 2972, 2978, 2979, 2990, 29968, 29969, 29998, 30000, 3020, 3028, 3034, 3035, 3060, 3074, 3075, 30813, 3105, 3106, 3119, 3123, 3141, 3155, 3183, 3199, 3257, 3291, 3339, 3376, 337867, 338433, 339855, 340024, 341208, 3419, 3420, 3426, 343035, 346007, 347733, 35, 3500, 355, 359, 3592, 3593, 359948, 3612, 3614, 3615, 3617, 3643, 3653, 3654, 3664, 3684, 3694, 3703, 372, 3735, 3736, 3737, 3739, 3745, 374654, 3747, 374879, 374969, 375298, 375790, 3758, 3762, 3766, 3767, 3769, 3781, 38, 3800, 3839, 3852, 3859, 387119, 388531, 3887, 3889, 388939, 3892, 3899, 390595, 392255, 3954, 3973, 3981, 4010, 404672, 4047, 4053, 4072, 4076, 407975, 4081, 4117, 4123, 4125, 4149, 4158, 4166, 4210, 4247, 4281, 435, 4358, 440138, 4512, 4513, 4514, 4535, 4538, 4540, 4541, 4552, 4556, 4558, 4564, 4567, 4568, 4572, 4574, 4575, 4576, 4578, 4594, 4649, 4668, 4677, 4683, 4693, 473, 4744, 4750, 4751, 476, 4761, 4774, 4838, 4841, 4849, 4858, 4860, 4863, 4867, 4897, 490, 4901, 4926, 493856, 4948, 4952, 4953, 4983, 49855, 5032, 50484, 506, 5062, 50651, 5078, 50814, 50833, 50937, 50939, 50940, 51, 51057, 51085, 51126, 51151, 5116, 51185, 5119, 51204, 5122, 5130, 51305, 51317, 51319, 51324, 5133, 51343, 51360, 51362, 51412, 5145, 5146, 5148, 5149, 51524, 51574, 5158, 51621, 51633, 51645, 51684, 51729, 51741, 51752, 51780, 51816, 5190, 5192, 5194, 5195, 5283, 5314, 5333, 53335, 5339, 535, 5361, 5373, 5378, 53834, 54148, 5420, 5422, 5429, 54345, 5443, 5444, 5445, 5446, 54476, 54499, 54517, 5455, 54567, 5457, 54675, 54765, 54808, 54840, 54870, 54872, 54888, 54897, 54899, 549, 54902, 54903, 54914, 54941, 5498, 5500, 55024, 55120, 55149, 5515, 55152, 55164, 55180, 55181, 55186, 55187, 55212, 55217, 5524, 55250, 55262, 55343, 554, 55526, 55593, 55617, 55624, 55630, 55650, 5566, 55670, 55719, 5573, 55739, 5575, 55790, 55812, 5582, 5594, 55975, 5602, 56246, 5630, 5654, 56652, 5689, 56896, 56992, 57010, 5702, 57096, 57102, 57165, 57169, 57178, 5718, 57187, 57192, 57231, 57282, 57393, 57462, 57465, 57466, 57477, 57479, 57502, 57511, 57520, 57545, 57551, 57589, 57609, 57679, 57709, 5784, 5818, 582, 5824, 583, 5830, 5832, 58494, 58495, 58499, 585, 5898, 5921, 5922, 5927, 5932, 5934, 5949, 595, 5956, 5959, 5961, 5977, 5980, 6017, 60481, 60482, 60495, 60509, 6094, 6095, 6097, 6100, 6101, 6102, 6103, 611, 6134, 617, 6197, 6224, 6228, 6237, 6301, 6303, 63035, 6314, 6315, 6329, 63908, 6391, 63915, 6392, 63932, 63976, 640, 64218, 64411, 64682, 64802, 64834, 64859, 64864, 6491, 64919, 6496, 6497, 65062, 65078, 6513, 6515, 6519, 65217, 6524, 653361, 6559, 657, 6571, 6572, 6576, 6650, 6651, 6655, 6658, 6660, 6696, 6711, 672, 6720, 6729, 675, 6768, 6775, 6785, 6844, 6853, 6854, 6874, 6897, 6904, 6909, 6938, 6945, 6997, 7010, 7015, 7045, 7050, 7075, 7080, 7086, 7098, 7109, 7128, 7169, 7187, 721, 7252, 7253, 7275, 7283, 7287, 7290, 7292, 7319, 7332, 7353, 7401, 7407, 7424, 7439, 7453, 7504, 7507, 7508, 7528, 755, 7552, 768206, 7703, 7704, 7737, 774, 7750, 778, 7798, 7809, 781, 7840, 7846, 7855, 7862, 791114, 79152, 7957, 79576, 79583, 79587, 79631, 79633, 79734, 79738, 79751, 79783, 79797, 79798, 79803, 79813, 79853, 79868, 79903, 79932, 79934, 7994, 79947, 79955, 79971, 79977, 79987, 80036, 80055, 80155, 80173, 80184, 80185, 80199, 80204, 80208, 80232, 80326, 8036, 80704, 80832, 80856, 8100, 8139, 81603, 81608, 81614, 81622, 81839, 81846, 81857, 8195, 8218, 8220, 8260, 8302, 833, 83479, 83480, 83548, 83550, 83552, 8363, 8367, 83696, 83715, 83723, 83938, 84059, 84065, 84100, 84131, 84138, 84140, 84148, 84162, 84168, 84188, 84274, 84277, 84282, 84300, 84320, 84340, 8450, 8452, 84628, 84631, 84679, 8468, 847, 84720, 84816, 84839, 84879, 84894, 84976, 84984, 84992, 85015, 8504, 8510, 8514, 8517, 8546, 8558, 8567, 8626, 8629, 8642, 8659, 8722, 8754, 8799, 8802, 8803, 8812, 8820, 8828, 8842, 8913, 8928, 8936, 8943, 89970, 90459, 9054, 9056, 9071, 9091, 9094, 91039, 91147, 9129, 915, 916, 9179, 91801, 91875, 9203, 9213, 92154, 92211, 9227, 9230, 92482, 92609, 92840, 9320, 9338, 9354, 93589, 93627, 9364, 9365, 93986, 94005, 9487, 9496, 95, 9508, 953, 9568, 9578, 9581, 9632, 9657, 9675, 9692, 9698, 9731, 9742, 9758, 9759, 9785, 9790, 9853, 9860, 9881, 9894, 9896, 9898, 9918, 9922, 9928, 9969, 9993",646,0,1041,1687
Primary hyperparathyroidism,"1027, 1030, 1031, 1175, 23028, 2767, 2778, 4221, 7528, 79577, 846, 9247","11167, 1240, 152404, 2246, 2260, 30061, 5289, 5979, 8074","1026, 79798",12,9,2,14
Hyperventilation,"1137, 1392, 2203, 2562, 2566, 3141, 4204, 4508, 4535, 4536, 4537, 4538, 4540, 6792, 6925, 816, 8912, 9568, 9681","26834, 40, 41, 4855, 80816, 847, 9311","11011, 1135, 1141, 200894, 2554, 25792, 26047, 4541, 4566, 4567, 4577, 4578, 57010, 57582, 65250, 6857, 686, 7386, 8573, 8629, 9378",19,7,21,40
