Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
11 pairs of ribs,49,22,22,49,44.9
2-hydroxyglutarate aciduria,6,5,5,6,83.33
Abnormal 4th finger morphology,36,3,2,37,5.41
Abnormal abdomen morphology,893,192,191,894,21.36
Abnormal acetabulum morphology,609,43,43,609,7.06
Abnormal activity of mitochondrial respiratory chain,150,157,139,168,82.74
Abnormal anatomic location of the heart,151,28,27,152,17.76
Abnormal arm span,11,11,8,14,57.14
Abnormal auditory evoked potentials,28,16,15,29,51.72
Abnormal bladder morphology,100,53,42,111,37.84
Abnormal blistering of the skin,116,105,104,117,88.89
Abnormal blood gas level,55,32,31,56,55.36
Abnormal blood inorganic cation concentration,199,174,173,200,86.5
Abnormal blood sodium concentration,70,58,53,75,70.67
Abnormal blood urea nitrogen concentration,25,15,14,26,53.85
Abnormal blood zinc concentration,8,6,5,9,55.56
Abnormal brain positron emission tomography,24,18,17,25,68.0
Abnormal branching pattern of the aortic arch,34,21,21,34,61.76
Abnormal bronchoalveolar lavage fluid morphology,19,27,17,29,58.62
Abnormal calcification of the carpal bones,6,2,2,6,33.33
Abnormal calf musculature morphology,98,63,62,99,62.63
Abnormal cardiac biomarker test,7,22,7,22,31.82
Abnormal cardiac septum morphology,876,599,596,879,67.8
Abnormal carotid artery morphology,106,66,65,107,60.75
Abnormal caudate nucleus morphology,25,27,23,29,79.31
Abnormal cerebellar cortex morphology,5,2,1,6,16.67
Abnormal cerebrospinal fluid morphology,682,161,160,683,23.43
Abnormal cervical spine morphology,36,22,14,44,31.82
Abnormal chorioretinal morphology,178,140,138,180,76.67
Abnormal chromosome morphology,14,25,11,28,39.29
Abnormal circulating adrenocorticotropin concentration,48,48,44,52,84.62
Abnormal circulating amino acid concentration,184,155,152,187,81.28
Abnormal circulating bilirubin concentration,142,93,93,142,65.49
Abnormal circulating carboxylic acid concentration,409,28,28,409,6.85
Abnormal circulating cholesterol concentration,163,111,109,165,66.06
Abnormal circulating citrulline concentration,25,5,5,25,20.0
Abnormal circulating copper concentration,14,12,12,14,85.71
Abnormal circulating globulin concentration,14,4,3,15,20.0
Abnormal circulating gonadotropin concentration,131,31,31,131,23.66
Abnormal circulating insulin concentration,162,82,75,169,44.38
Abnormal circulating iron concentration,23,24,17,30,56.67
Abnormal circulating isoleucine concentration,6,6,6,6,100.0
Abnormal circulating lactate dehydrogenase concentration,102,74,74,102,72.55
Abnormal circulating lipid concentration,339,253,253,339,74.63
Abnormal circulating nucleobase concentration,49,3,3,49,6.12
Abnormal circulating ornithine concentration,5,7,5,7,71.43
Abnormal circulating serine concentration,5,4,4,5,80.0
Abnormal circulating sex hormone concentration,123,97,94,126,74.6
Abnormal corneal epithelium morphology,196,110,106,200,53.0
Abnormal corneal reflex,12,5,4,13,30.77
Abnormal corneal thickness,155,55,55,155,35.48
Abnormal coronary artery origin,8,5,4,9,44.44
Abnormal corpus striatum morphology,43,45,38,50,76.0
Abnormal cortical bone morphology,611,86,81,616,13.15
Abnormal corticospinal tract morphology,50,25,24,51,47.06
Abnormal curvature of the vertebral column,1518,826,826,1518,54.41
