Gene Set Name,Precision,Recall,F1
Hypoplastic aortic arch,0.8333333333333334,0.35714285714285715,0.5
Left ventricular hypertrophy,0.9841269841269841,0.5299145299145299,0.688888888888889
Undetectable electroretinogram,0.9583333333333334,0.7931034482758621,0.8679245283018867
Abnormal urine magnesium concentration,0.8,0.8,0.8000000000000002
Raynaud phenomenon,1.0,0.2727272727272727,0.42857142857142855
Hepatic fibrosis,0.9307692307692308,0.8013245033112583,0.8612099644128113
Subvalvular aortic stenosis,0.9,0.782608695652174,0.8372093023255814
Atypical behavior,1.0,0.38292827504445764,0.5537933990570082
Primary hyperparathyroidism,0.5714285714285714,0.8571428571428571,0.6857142857142857
Hyperventilation,0.7307692307692307,0.475,0.5757575757575758
Abnormal circulating citrulline concentration,1.0,0.2,0.33333333333333337
Lactic acidosis,0.9157303370786517,0.8029556650246306,0.8556430446194225
Quadriceps muscle atrophy,0.36363636363636365,0.8,0.5000000000000001
Spherocytosis,0.875,0.875,0.875
Red hair,1.0,0.5,0.6666666666666666
True hermaphroditism,0.6956521739130435,0.7619047619047619,0.7272727272727272
Axillary freckling,0.8,0.8,0.8000000000000002
Abnormal circulating nucleobase concentration,1.0,0.061224489795918366,0.11538461538461538
Androgen insufficiency,0.4,0.8,0.5333333333333333
Hypoplasia of the uterus,0.9473684210526315,0.33962264150943394,0.4999999999999999
Peripheral arterial stenosis,0.7837837837837838,0.8787878787878788,0.8285714285714285
Abnormal negative emotional state,0.16666666666666666,0.4,0.23529411764705882
Recurrent viral infections,1.0,0.6229508196721312,0.7676767676767677
Submucous cleft soft palate,0.42857142857142855,0.8181818181818182,0.5625
Abnormal curvature of the vertebral column,1.0,0.544137022397892,0.704778156996587
Biliary atresia,0.5,0.8461538461538461,0.6285714285714286
Abnormality of the upper limb,0.9960753532182104,0.6524421593830334,0.7884436160298229
Broad metatarsal,1.0,0.7692307692307693,0.8695652173913044
Chondrocalcinosis,1.0,0.36363636363636365,0.5333333333333333
Distal symphalangism,0.75,0.75,0.75
Recurrent spontaneous abortion,0.5882352941176471,0.8333333333333334,0.6896551724137931
Pharyngitis,0.6470588235294118,0.6470588235294118,0.6470588235294118
Premature arteriosclerosis,0.8888888888888888,1.0,0.9411764705882353
Fair hair,0.6666666666666666,0.1,0.1739130434782609
Knee contracture,0.9583333333333334,0.4928571428571429,0.6509433962264151
