Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
Hyperostosis,"121340, 1277, 139285, 2316, 23516, 23592, 2591, 2697, 2778, 28962, 4038, 4041, 4982, 50964, 5251, 5290, 5604, 56172, 6578, 7040, 7415, 84701, 8600, 8792, 9791","10418, 3248, 4088, 6222, 6319, 6424, 642658, 80335, 9370","10312, 1499, 1643, 2068, 207, 2071, 2072, 2073, 2260, 2776, 3178, 3181, 3425, 3845, 4089, 4125, 4854, 55315, 5573, 57187, 5728, 6197, 6916, 7454, 7456, 7507, 7508, 760, 7840",25,9,29,54
Highly arched eyebrow,"10584, 1387, 2033, 54499, 55252, 5648, 78989, 8405, 9126, 93627, 9427, 9839",7291,"1009, 10128, 10210, 10464, 10472, 10664, 10735, 10815, 10978, 11198, 11253, 11285, 113179, 113246, 117581, 1185, 124583, 126792, 1349, 1399, 1457, 1487, 153241, 157570, 158326, 1656, 166378, 1954, 200894, 219844, 219854, 2260, 22827, 22856, 23013, 23028, 23090, 23116, 23126, 2317, 23184, 23221, 23247, 23322, 23325, 23334, 23384, 23476, 23483, 23511, 24142, 2571, 25776, 25836, 259266, 26053, 26123, 26128, 26229, 26999, 2702, 2703, 27077, 27125, 27315, 284098, 29072, 29123, 29998, 317662, 3187, 3313, 3480, 348180, 374654, 3756, 3835, 3954, 4010, 403, 4052, 4089, 4123, 4125, 4212, 4297, 4330, 4762, 4784, 4867, 5033, 50651, 51259, 51305, 5147, 51524, 51633, 51684, 53834, 54517, 54806, 54872, 54880, 54892, 54903, 5500, 55012, 55617, 55627, 55636, 55650, 55690, 55691, 55777, 55780, 55790, 55869, 5594, 56623, 56975, 57020, 57479, 57545, 57680, 57688, 5792, 5818, 58499, 5879, 5885, 5910, 60, 6045, 6091, 613, 6197, 6228, 63895, 64131, 64132, 64412, 6472, 6497, 65062, 65250, 6595, 6664, 668, 6812, 6874, 6878, 7021, 71, 7204, 7360, 7403, 7468, 7469, 7543, 79583, 79600, 79791, 79813, 79848, 79867, 7994, 80055, 80173, 80184, 80204, 80210, 80776, 80816, 8085, 818, 8243, 8294, 8295, 8363, 84188, 84320, 84720, 8481, 84992, 85459, 8567, 8573, 8621, 867, 8985, 90459, 90952, 91147, 91875, 92335, 92344, 93210, 9373, 94005, 9442, 9469, 9487, 9496, 95681, 9578, 9723, 9731, 9759, 9772, 9786, 9851, 9853, 9900, 998",12,1,214,226
Abnormal thalamus morphology,"129607, 1630, 2055, 207, 2670, 5155, 57462, 58494",6657,"10381, 10585, 1352, 1356, 170825, 23265, 2512, 29925, 29954, 3074, 347733, 4771, 51684, 5286, 5290, 54209, 5428, 54820, 55037, 55209, 55624, 55699, 55770, 56652, 56947, 5727, 5903, 6342, 6513, 6598, 6605, 6608, 7015, 7846, 7862, 79147, 80347, 8314, 84197, 84231, 84705, 91574, 9440",8,1,43,51
Corneal ulceration,"2263, 2624, 4914, 5879, 59335",3859,"10060, 10269, 10894, 1161, 147372, 161742, 200734, 2050, 2074, 2078, 2255, 2261, 22800, 22808, 2303, 23194, 2324, 26038, 26128, 2623, 2697, 2706, 285, 2934, 29926, 29969, 326, 3265, 374654, 3832, 3845, 3909, 4000, 4358, 4547, 4668, 4763, 4893, 5373, 54101, 54345, 5500, 55768, 5594, 5604, 5605, 5629, 5649, 57165, 5781, 5784, 5894, 5921, 5922, 6016, 60684, 6097, 6237, 64324, 64411, 6654, 6655, 673, 6898, 7075, 7248, 7249, 7389, 7390, 7424, 79633, 79987, 8036, 8086, 8216, 8518, 85358, 8642, 867, 8828, 8829, 9508, 9620, 9780, 998",5,1,85,90
Ectopia lentis,"1280, 170691, 2200, 2201, 2296, 27151, 4016, 4053, 4338, 444, 5080, 54507, 6821, 7042, 80781, 81794, 875",846,"10157, 10526, 11117, 113246, 126792, 1281, 1289, 1297, 1298, 1299, 1301, 1302, 1462, 165, 1836, 2202, 23451, 25, 26610, 2767, 2776, 30008, 3339, 3769, 4015, 4036, 4054, 4087, 4088, 4337, 4693, 4882, 4883, 5062, 5076, 5130, 5351, 54765, 54880, 55033, 55214, 56937, 57105, 6297, 633, 64132, 64412, 64840, 6497, 652, 6890, 7043, 7046, 7048, 7490, 79875, 8076, 81031, 8314, 84189, 84695, 8985, 91851",17,1,63,80
Ectopic anterior pituitary gland,"2736, 3170, 6658, 89884",221322,"5015, 5449, 5626, 8312, 8820",4,1,5,9
Eclabion,"26154, 7051",26227,"1009, 10265, 10430, 10717, 10743, 10847, 10913, 11154, 1123, 11253, 112752, 114049, 116931, 1193, 121214, 126410, 128178, 129563, 135886, 138050, 1387, 151516, 155368, 155382, 1788, 1896, 1909, 1917, 2006, 204219, 2067, 2068, 2073, 2074, 2245, 2260, 2273, 2290, 22907, 22930, 2296, 23126, 23129, 23241, 23258, 23363, 23384, 23389, 23394, 23431, 242, 25782, 26128, 26235, 2629, 26608, 26834, 27245, 27316, 283489, 284058, 2969, 29957, 30000, 3020, 3265, 3339, 3425, 3480, 348938, 3664, 374654, 3756, 3778, 3984, 4040, 404672, 4131, 4190, 4204, 4247, 4487, 4613, 4733, 4784, 4893, 4952, 5080, 50801, 5083, 51098, 51099, 51163, 5308, 53335, 54453, 54517, 546, 54828, 54870, 55624, 55691, 55764, 55777, 56006, 56098, 57167, 57192, 57465, 57539, 57688, 57724, 57728, 58508, 59344, 5980, 5982, 60401, 6134, 6197, 627, 643418, 64388, 650, 653361, 6595, 6597, 6611, 6638, 6664, 6792, 6804, 6820, 6874, 6929, 7020, 7021, 7030, 7039, 7341, 7458, 7461, 7480, 7490, 79718, 79813, 79989, 80204, 80232, 80326, 80816, 81857, 8260, 8294, 8367, 83987, 84163, 84168, 84277, 84320, 8468, 84700, 85440, 9031, 90952, 91179, 9179, 9487, 9509, 9569, 9739, 9820, 9898, 9935",2,1,174,176
Abnormal head movements,"23230, 2521, 2554, 4137, 5354, 773","127733, 1861, 23176, 2647, 2774, 3064, 54476, 55145, 6311, 63982, 64221, 64601, 6513, 79848","10280, 10558, 10749, 16, 1737, 2332, 2562, 2566, 25885, 2593, 26275, 267010, 284217, 3329, 3735, 4001, 51604, 5192, 5277, 5297, 54112, 5610, 5621, 57165, 57679, 6711, 6843, 7274, 7345, 80208, 8260, 84504, 8629, 8912, 9725",6,14,35,41
Hemianopia,"5428, 673",,"10000, 10083, 10518, 11277, 124590, 1499, 16, 207, 22901, 23600, 2475, 25861, 2776, 3035, 347733, 4221, 4511, 4512, 4513, 4514, 4519, 4535, 4540, 4541, 4558, 4564, 4566, 4567, 4568, 4572, 4574, 4575, 4577, 4578, 4647, 4771, 5155, 51684, 5290, 64072, 65217, 6598, 6605, 6608, 7015, 7399, 7401, 79955, 8314, 83550, 83715, 84059, 84131, 84231, 8891, 9049, 9692",2,0,57,59
Metabolic alkalosis,"1187, 1188, 1811, 3291, 3758, 3766, 6337, 6340, 6557, 6559, 7809",,"10320, 1181, 2908, 3106, 3762, 58528, 776, 79731",11,0,8,19
