Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
11 pairs of ribs,49,14,2,61,3.28
2-hydroxyglutarate aciduria,6,5,5,6,83.33
Abnormal 4th finger morphology,36,2,1,37,2.7
Abnormal abdomen morphology,893,16,16,893,1.79
Abnormal acetabulum morphology,609,8,8,609,1.31
Abnormal activity of mitochondrial respiratory chain,150,127,123,154,79.87
Abnormal anatomic location of the heart,151,7,6,152,3.95
Abnormal arm span,11,11,3,19,15.79
Abnormal auditory evoked potentials,28,6,6,28,21.43
Abnormal bladder morphology,100,22,11,111,9.91
Abnormal blistering of the skin,116,38,37,117,31.62
Abnormal blood gas level,55,3,3,55,5.45
Abnormal blood inorganic cation concentration,199,36,28,207,13.53
Abnormal blood sodium concentration,70,17,10,77,12.99
Abnormal blood urea nitrogen concentration,25,4,3,26,11.54
Abnormal blood zinc concentration,8,14,3,19,15.79
Abnormal brain positron emission tomography,24,6,6,24,25.0
Abnormal branching pattern of the aortic arch,34,2,2,34,5.88
Abnormal bronchoalveolar lavage fluid morphology,19,12,6,25,24.0
Abnormal calcification of the carpal bones,6,2,1,7,14.29
Abnormal calf musculature morphology,98,25,25,98,25.51
Abnormal cardiac biomarker test,7,15,6,16,37.5
Abnormal cardiac septum morphology,876,65,55,886,6.21
Abnormal carotid artery morphology,106,24,14,116,12.07
Abnormal caudate nucleus morphology,25,10,3,32,9.38
Abnormal cerebellar cortex morphology,5,1,1,5,20.0
Abnormal cerebrospinal fluid morphology,682,34,34,682,4.99
Abnormal cervical spine morphology,36,17,2,51,3.92
Abnormal chorioretinal morphology,178,35,32,181,17.68
Abnormal chromosome morphology,14,10,6,18,33.33
Abnormal circulating adrenocorticotropin concentration,48,20,15,53,28.3
Abnormal circulating amino acid concentration,184,57,48,193,24.87
Abnormal circulating bilirubin concentration,142,23,20,145,13.79
Abnormal circulating carboxylic acid concentration,409,9,9,409,2.2
Abnormal circulating cholesterol concentration,163,54,40,177,22.6
Abnormal circulating citrulline concentration,25,4,3,26,11.54
Abnormal circulating copper concentration,14,16,5,25,20.0
Abnormal circulating globulin concentration,14,3,2,15,13.33
Abnormal circulating gonadotropin concentration,131,17,17,131,12.98
Abnormal circulating insulin concentration,162,35,26,171,15.2
Abnormal circulating iron concentration,23,16,10,29,34.48
Abnormal circulating isoleucine concentration,6,7,4,9,44.44
Abnormal circulating lactate dehydrogenase concentration,102,10,9,103,8.74
Abnormal circulating lipid concentration,339,94,84,349,24.07
Abnormal circulating nucleobase concentration,49,2,1,50,2.0
Abnormal circulating ornithine concentration,5,7,3,9,33.33
Abnormal circulating serine concentration,5,4,3,6,50.0
Abnormal circulating sex hormone concentration,123,37,25,135,18.52
Abnormal corneal epithelium morphology,196,39,26,209,12.44
Abnormal corneal reflex,12,1,1,12,8.33
Abnormal corneal thickness,155,24,23,156,14.74
Abnormal coronary artery origin,8,2,1,9,11.11
Abnormal corpus striatum morphology,43,18,11,50,22.0
Abnormal cortical bone morphology,611,30,26,615,4.23
Abnormal corticospinal tract morphology,50,9,8,51,15.69
Abnormal curvature of the vertebral column,1518,62,60,1520,3.95
Abnormal dark-adapted bright flash electroretinogram,19,8,8,19,42.11
Abnormal dental root morphology,58,23,16,65,24.62
Abnormal drinking behavior,53,5,4,54,7.41
Abnormal duodenum morphology,87,9,8,88,9.09
Abnormal ear morphology,1737,128,128,1737,7.37
Abnormal eating behavior,129,36,22,143,15.38
Abnormal electroretinogram,366,140,140,366,38.25
Abnormal emotional state,711,118,110,719,15.3
Abnormal endocrine morphology,118,41,40,119,33.61
Abnormal energy expenditure,12,9,8,13,61.54
Abnormal enzyme concentration or activity,744,415,414,745,55.57
Abnormal eosinophil morphology,73,14,5,82,6.1
Abnormal erythrocyte enzyme concentration or activity,49,20,20,49,40.82
Abnormal erythrocyte morphology,1245,32,32,1245,2.57
Abnormal external nose morphology,990,9,9,990,0.91
Abnormal eyelash morphology,343,23,20,346,5.78
Abnormal facial expression,191,12,11,192,5.73
Abnormal facial skeleton morphology,1667,174,174,1667,10.44
Abnormal fallopian tube morphology,27,13,3,37,8.11
Abnormal female reproductive system physiology,385,112,111,386,28.76
Abnormal femur morphology,702,98,97,703,13.8
Abnormal fetal cardiovascular morphology,53,33,12,74,16.22
Abnormal fetal genitourinary system morphology,13,2,1,14,7.14
Abnormal fetal morphology,371,117,93,395,23.54
Abnormal fontanelle morphology,240,6,6,240,2.5
Abnormal foot morphology,1783,77,76,1784,4.26
Abnormal full-field electroretinogram,328,84,83,329,25.23
Abnormal globus pallidus morphology,27,4,4,27,14.81
Abnormal hallux morphology,213,4,4,213,1.88
Abnormal hard palate morphology,85,22,4,103,3.88
Abnormal head blood vessel morphology,83,3,2,84,2.38
Abnormal head movements,41,20,6,55,10.91
Abnormal heart valve morphology,381,72,68,385,17.66
Abnormal helix morphology,189,10,9,190,4.74
Abnormal hemoglobin concentration,20,12,12,20,60.0
Abnormal hindbrain morphology,1071,97,93,1075,8.65
Abnormal ileum morphology,45,4,3,46,6.52
Abnormal immune serum protein physiology,48,19,19,48,39.58
Abnormal incisor morphology,78,28,20,86,23.26
Abnormal intrahepatic bile duct morphology,32,7,6,33,18.18
Abnormal iris pigmentation,148,19,19,148,12.84
Abnormal joint morphology,1486,261,260,1487,17.48
Abnormal lacrimal duct morphology,57,2,1,58,1.72
Abnormal larynx morphology,164,15,5,174,2.87
Abnormal lateral ventricle morphology,131,14,13,132,9.85
Abnormal left ventricular end-diastolic volume,23,8,7,24,29.17
Abnormal length of corpus callosum,10,2,1,11,9.09
Abnormal leukocyte enzyme concentration or activity,5,6,5,6,83.33
Abnormal limb epiphysis morphology,189,16,14,191,7.33
Abnormal liver enzyme activity or concentration,14,16,6,24,25.0
Abnormal liver metabolite concentration,209,63,54,218,24.77
Abnormal liver physiology,27,17,16,28,57.14
Abnormal lower limb epiphysis morphology,148,12,7,153,4.58
Abnormal lung lobation,44,4,2,46,4.35
Abnormal lymphatic vessel morphology,18,18,10,26,38.46
Abnormal macrophage morphology,48,19,15,52,28.85
Abnormal mast cell morphology,8,11,4,15,26.67
Abnormal mean corpuscular volume,63,8,7,64,10.94
Abnormal metabolism,165,179,138,206,66.99
Abnormal metaphyseal trabeculation,26,5,3,28,10.71
Abnormal middle phalanx morphology of the hand,71,15,11,75,14.67
Abnormal mitochondria in muscle tissue,48,28,20,56,35.71
Abnormal mitral valve physiology,210,19,19,210,9.05
Abnormal morphology of the great vessels,826,55,49,832,5.89
Abnormal morphology of the limbic system,52,13,6,59,10.17
Abnormal morphology of the olfactory bulb,36,7,7,36,19.44
Abnormal morphology of ulna,177,8,7,178,3.93
Abnormal motor evoked potentials,12,2,1,13,7.69
Abnormal muscle fiber alpha dystroglycan,12,12,10,14,71.43
Abnormal muscle fiber morphology,294,110,110,294,37.41
Abnormal muscle tissue metabolite concentration,64,29,21,72,29.17
Abnormal nail attachment,24,3,3,24,12.5
Abnormal nasal septum morphology,25,14,2,37,5.41
Abnormal nasal skeleton morphology,12,18,2,28,7.14
Abnormal nasolacrimal system morphology,83,5,4,84,4.76
Abnormal nasopharynx morphology,200,8,3,205,1.46
Abnormal negative emotional state,5,22,3,24,12.5
Abnormal neuron morphology,85,63,63,85,74.12
Abnormal nonverbal communicative behavior,121,11,11,121,9.09
Abnormal number of teeth,864,88,88,864,10.19
Abnormal odontoid process morphology,34,4,3,35,8.57
Abnormal ossification involving the femoral head and neck,25,16,1,40,2.5
Abnormal ovarian morphology,179,53,52,180,28.89
Abnormal palate morphology,1503,155,147,1511,9.73
Abnormal palmar dermatoglyphics,769,17,15,771,1.95
Abnormal pelvic girdle bone morphology,973,21,19,975,1.95
Abnormal pelvis bone morphology,22,1,1,22,4.55
Abnormal pericardium morphology,84,15,4,95,4.21
Abnormal peripheral myelination,113,32,25,120,20.83
Abnormal peristalsis,25,15,7,33,21.21
Abnormal periungual morphology,23,3,1,25,4.0
Abnormal phagocytosis,5,4,3,6,50.0
Abnormal phalangeal joint morphology of the hand,296,6,5,297,1.68
Abnormal pituitary gland morphology,360,40,40,360,11.11
Abnormal pleura morphology,248,15,13,250,5.2
Abnormal portal venous system morphology,11,12,3,20,15.0
Abnormal posturing,7,9,3,13,23.08
Abnormal proximal phalanx morphology of the hand,29,18,11,36,30.56
Abnormal psychotic pattern,164,28,16,176,9.09
Abnormal pulmonary valve morphology,57,2,1,58,1.72
Abnormal pulmonary valve physiology,183,5,4,184,2.17
Abnormal rapid eye movement sleep,21,11,3,29,10.34
Abnormal relationship,16,10,2,24,8.33
Abnormal renal cortex morphology,257,43,32,268,11.94
Abnormal renal morphology,1159,269,269,1159,23.21
Abnormal renal physiology,745,264,258,751,34.35
Abnormal retinal morphology,1120,330,329,1121,29.35
Abnormal retinal vascular morphology,457,42,36,463,7.78
Abnormal salivary gland morphology,28,15,7,36,19.44
Abnormal sclera morphology,643,28,18,653,2.76
Abnormal shoulder morphology,114,1,1,114,0.88
Abnormal size of pituitary gland,31,4,4,31,12.9
Abnormal skull base morphology,739,20,20,739,2.71
Abnormal speech discrimination,5,9,2,12,16.67
Abnormal sperm tail morphology,49,32,31,50,62.0
Abnormal systemic arterial morphology,604,51,50,605,8.26
Abnormal tarsal ossification,9,2,1,10,10.0
Abnormal temper tantrums,37,2,1,38,2.63
Abnormal testis morphology,977,213,192,998,19.24
Abnormal thalamus morphology,51,9,8,52,15.38
Abnormal thymus morphology,59,11,10,60,16.67
Abnormal tissue enzyme concentration or activity,104,79,79,104,75.96
Abnormal toe morphology,1089,49,49,1089,4.5
Abnormal toe phalanx morphology,157,4,4,157,2.55
