Gene Set Name,Precision,Recall,F1
Hyperostosis,0.7352941176470589,0.46296296296296297,0.5681818181818182
Highly arched eyebrow,0.9230769230769231,0.05309734513274336,0.100418410041841
Abnormal thalamus morphology,0.8888888888888888,0.1568627450980392,0.26666666666666666
Corneal ulceration,0.8333333333333334,0.05555555555555555,0.10416666666666666
Ectopia lentis,0.9444444444444444,0.2125,0.3469387755102041
Ectopic anterior pituitary gland,0.8,0.4444444444444444,0.5714285714285714
Eclabion,0.6666666666666666,0.011363636363636364,0.0223463687150838
Abnormal head movements,0.3,0.14634146341463414,0.19672131147540983
Hemianopia,1.0,0.03389830508474576,0.06557377049180328
Metabolic alkalosis,1.0,0.5789473684210527,0.7333333333333334
Sclerotic vertebral endplates,0.5,0.16666666666666666,0.25
Abnormal cardiac biomarker test,0.4,0.8571428571428571,0.5454545454545455
Macular scar,0.6666666666666666,0.4,0.5
Lacrimation abnormality,0.5833333333333334,0.07526881720430108,0.13333333333333333
Normochromic anemia,0.6818181818181818,0.38461538461538464,0.4918032786885246
Dry skin,0.9574468085106383,0.225,0.3643724696356275
Abnormal blood zinc concentration,0.21428571428571427,0.375,0.2727272727272727
2-hydroxyglutarate aciduria,1.0,0.8333333333333334,0.9090909090909091
Abnormal joint morphology,0.9961685823754789,0.17496635262449528,0.29765311963365765
Abnormality of the plantar skin of foot,1.0,0.06358381502890173,0.11956521739130435
Hyperkalemia,0.875,0.5121951219512195,0.6461538461538462
Distal symphalangism,0.8,0.5,0.6153846153846154
Talipes equinovarus,0.9322033898305084,0.1193058568329718,0.2115384615384615
Schwannoma,0.5,0.5,0.5
Protrusio acetabuli,1.0,0.02702702702702703,0.052631578947368425
Myeloid leukemia,0.5952380952380952,0.8064516129032258,0.684931506849315
Abnormal head blood vessel morphology,0.6666666666666666,0.024096385542168676,0.046511627906976744
Adrenocortical carcinoma,0.9333333333333333,0.7368421052631579,0.8235294117647058
Thyroid agenesis,0.4444444444444444,0.5714285714285714,0.5
Stillbirth,0.2857142857142857,0.1875,0.22641509433962265
Abnormal duodenum morphology,0.8888888888888888,0.09195402298850575,0.16666666666666666
Rotary nystagmus,0.2857142857142857,0.07692307692307693,0.12121212121212123
Ventricular fibrillation,0.8857142857142857,0.5254237288135594,0.6595744680851064
Breech presentation,0.2857142857142857,0.0273972602739726,0.05
Lower limb spasticity,0.9811320754716981,0.38661710037174724,0.5546666666666666
Multiple gastric polyps,1.0,0.4074074074074074,0.5789473684210525
Primary hyperaldosteronism,1.0,0.5,0.6666666666666666
Exudative retinopathy,0.75,0.05263157894736842,0.09836065573770492
Aplasia cutis congenita,1.0,0.4186046511627907,0.5901639344262295
Short tibia,0.42857142857142855,0.3333333333333333,0.375
Reduced circulating prolactin concentration,0.2222222222222222,0.18181818181818182,0.19999999999999998
Absent pubic hair,1.0,0.3333333333333333,0.5
Abnormal morphology of ulna,0.875,0.03954802259887006,0.07567567567567568
Pedal edema,0.8571428571428571,0.10526315789473684,0.1875
Mandibular aplasia,0.09090909090909091,0.07692307692307693,0.08333333333333334
Vasculitis,0.9722222222222222,0.5645161290322581,0.7142857142857143
Abnormal peripheral myelination,0.78125,0.22123893805309736,0.3448275862068965
Portal fibrosis,0.8333333333333334,0.2777777777777778,0.4166666666666667
Clumsiness,0.9375,0.15789473684210525,0.27027027027027023
Dystrophic fingernails,0.5384615384615384,0.21875,0.3111111111111111
Abnormal electroretinogram,1.0,0.3825136612021858,0.5533596837944664
Choreoathetosis,1.0,0.23703703703703705,0.38323353293413176
Ocular pain,0.35714285714285715,0.25,0.2941176470588235
Generalized hyperpigmentation,1.0,0.20512820512820512,0.3404255319148936
Genu valgum,1.0,0.04477611940298507,0.08571428571428572
Minicore myopathy,0.8888888888888888,0.8888888888888888,0.8888888888888888
Leukoencephalopathy,1.0,0.36134453781512604,0.5308641975308642
Hypokinesia,0.6470588235294118,0.19298245614035087,0.29729729729729726
Finger clinodactyly,0.8382352941176471,0.10714285714285714,0.19
Abnormal temper tantrums,0.5,0.02702702702702703,0.05128205128205129
Delayed gross motor development,1.0,0.09081836327345309,0.16651418115279049
Calf muscle pseudohypertrophy,0.5833333333333334,0.35,0.4375
Neonatal hyperbilirubinemia,1.0,0.2916666666666667,0.45161290322580644
Short middle phalanx of the 2nd finger,0.625,0.625,0.625
Preauricular skin tag,0.7777777777777778,0.175,0.2857142857142857
Increased corneal thickness,0.6666666666666666,0.4,0.5
Cerebellar hemisphere hypoplasia,0.125,0.125,0.125
Juvenile cataract,0.7,0.6363636363636364,0.6666666666666666
Proximal amyotrophy,0.75,0.15,0.24999999999999997
Everted lower lip vermilion,0.75,0.04195804195804196,0.07947019867549669
Abnormal urine sodium concentration,0.8571428571428571,0.3333333333333333,0.48
Repetitive compulsive behavior,0.42857142857142855,0.23076923076923078,0.3
Recurrent paroxysmal headache,0.16666666666666666,0.03125,0.05263157894736842
Failure of eruption of permanent teeth,0.5,0.2,0.28571428571428575
Abnormality of the pylorus,0.375,0.026785714285714284,0.049999999999999996
Motor seizure,0.9851485148514851,0.4335511982570806,0.6021180030257186
Blurred vision,0.4666666666666667,0.15217391304347827,0.22950819672131148
Severe global developmental delay,0.9897959183673469,0.41452991452991456,0.5843373493975904
Cupped ribs,1.0,0.06666666666666667,0.125
Weakness of long finger extensor muscles,0.5833333333333334,0.3333333333333333,0.4242424242424242
Crumpled ear,1.0,0.06060606060606061,0.1142857142857143
Cardiomegaly,1.0,0.2589928057553957,0.4114285714285714
